Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Damon Blackshear,BW,2,15,0,2,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0,0,8.50,2.43,0.37,0.07,0.00,-2.41,-1.84,0.08,-0.03,-0.03,4.03,0.23,0.13
Farid Basharat,BW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.67,3.87,0.40,0.20,0.00,-3.25,-0.41,0.11,0.10,-0.03,3.07,0.40,0.07
Esteban Ribovics ,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.80,4.40,0.07,0.00,0.07,0.39,0.32,-0.24,-0.11,0.04,2.67,1.40,0.73
Loik Radzhabov,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.80,2.67,1.40,0.73,0.00,-2.61,-1.42,1.10,0.62,-0.02,4.40,0.07,0.00
Andre Muniz,MW,4,9.15,3,1,1,0,0,0,2,1,0.33,0,0.67,0.67,0,0,1,1,9.42,2.05,0.57,0.22,0.00,-0.74,-1.95,0.29,0.11,-0.02,1.69,0.11,0.05
Brendan Allen,MW,7,9.68,6,1,2,0,0,1,4,0,0.33,0,0.67,0.67,0,1,0,1,9.24,4.02,0.16,0.09,0.02,-0.92,0.01,-0.12,-0.02,0.00,3.48,0.25,0.10
Augusto Sakai,HW,4,8.53,1,3,1,0,0,3,0,0,1,0,0,0,0,1,0,1,7.77,2.49,0.09,0.03,0.00,-2.31,-1.60,-0.09,-0.05,-0.02,3.28,0.29,0.18
Don'Tale Mayes,HW,3,14.48,1,2,0,1,1,0,0,0,0,1,0,1,0.5,0,0,0,9.00,2.33,0.21,0.14,0.00,-1.08,-1.77,0.02,0.06,-0.02,2.79,0.18,0.09
Mike Malott,WW,2,3.97,2,0,0,0,1,0,1,0,0,0.5,0.5,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.20,4.66,0.13,0.13,0.13,-1.53,0.35,-0.12,0.04,0.10,1.76,0.25,0.13
Yohann Lainesse,WW,3,9.43,1,2,1,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,5.37,2.30,0.25,0.07,0.04,-5.36,-2.02,0.00,-0.02,0.01,3.57,0.35,0.07
Erick Gonzalez,LW,2,3.63,0,2,0,0,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0.5,1,7.29,2.20,0.96,0.55,0.00,-3.12,-1.88,0.66,0.44,-0.02,9.50,0.28,0.14
Trevor Peek,LW,1,4.98,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,17.26,10.23,0.20,0.00,0.40,6.85,6.15,-0.10,-0.11,0.38,1.40,1.20,0.80
Jordan Leavitt,LW,5,9.46,3,2,1,1,1,0,1,1,0.33,0.33,0.33,0.67,0.5,0,0.5,0.5,10.70,2.79,0.57,0.13,0.02,0.29,-1.29,0.27,0.02,0.00,2.07,0.21,0.15
Victor Martinez,LW,1,2.45,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,12.65,2.86,0.00,0.00,0.00,2.24,-1.23,-0.30,-0.11,-0.02,6.94,0.82,0.00
Ode Osbourne,FW,6,6.53,4,2,2,0,2,2,0,0,0.5,0.5,0,0.5,0,1,0,1,11.87,4.39,0.43,0.10,0.05,0.81,0.06,0.17,0.00,0.03,4.95,0.13,0.03
Charles Johnson,FLW,4,12.39,2,2,1,2,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,11.00,4.46,0.14,0.02,0.00,1.39,0.85,-0.14,-0.08,-0.03,3.75,0.87,0.34
Joe Solecki ,LW,4,13.73,3,1,2,1,0,0,1,0,0.67,0,0.33,0.33,1,0,0,0,8.36,1.68,0.33,0.15,0.00,-2.05,-2.41,0.02,0.03,-0.02,1.78,0.04,0.02
Carl Deaton,LW,1,9.92,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,2.92,0.10,0.00,0.00,0.00,-7.49,-3.98,-0.30,-0.11,-0.02,0.20,0.30,0.20
Rafael Alves,LW,4,10.83,2,2,1,1,0,1,1,0,0.5,0,0.5,0.5,0.5,0.5,0,0.5,4.53,1.82,0.09,0.02,0.02,-5.89,-2.26,-0.21,-0.09,0.00,3.23,0.18,0.12
Nurullo Aliev,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.33,1.27,0.27,0.20,0.00,-1.08,-2.82,-0.04,0.09,-0.02,0.40,0.00,0.00
Jordan Wright ,MW,2,8.8,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,15.80,2.33,0.28,0.11,0.00,5.63,-1.67,0.00,0.01,-0.02,4.09,0.34,0.00
Zach Pauga ,LHW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.60,3.93,0.40,0.00,0.00,-2.07,-0.16,0.16,-0.09,-0.02,1.93,0.07,0.00
Josh Parisian,HW,4,12.88,2,2,1,1,1,1,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,9.94,3.26,0.29,0.10,0.00,-0.14,-0.83,0.11,0.02,-0.02,3.32,0.37,0.21
Jamal Pogues,HW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,5.27,2.20,0.73,0.33,0.00,-4.81,-1.89,0.55,0.26,-0.02,2.47,0.13,0.07
William Knight,LHW,6,12.89,2,4,1,3,1,1,0,0,0.5,0.5,0,0.5,0.75,0.25,0,0.25,4.97,1.76,0.26,0.07,0.03,-4.70,-2.33,0.02,-0.02,0.00,3.48,0.21,0.13
Marcin Prachnio,LHW,4,12.73,3,1,2,1,1,0,0,0,0.67,0.33,0,0.33,1,0,0,0,12.09,6.17,0.06,0.00,0.02,2.43,2.07,-0.18,-0.09,0.00,3.04,0.29,0.10
Jim Miller,LW,4,10.88,2,2,0,2,1,0,1,0,0,0.5,0.5,1,1,0,0,0,9.26,3.45,0.05,0.02,0.02,-1.15,-0.64,-0.26,-0.09,0.00,3.89,0.11,0.02
Alexander Hernandez,LW,5,9.44,3,2,1,1,1,1,1,0,0.33,0.33,0.33,0.67,0.5,0.5,0,0.5,14.06,5.57,0.21,0.04,0.02,3.65,1.49,-0.09,-0.07,0.00,5.21,0.25,0.08
Nazim Sadykhov,LW,1,10.63,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.26,6.02,0.09,0.09,0.00,2.85,1.93,-0.21,-0.02,-0.02,6.58,0.56,0.09
Evan Elder,WW,2,12.82,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,8.78,3.78,0.31,0.04,0.04,-1.95,-0.53,0.07,-0.05,0.02,5.42,0.27,0.20
Jamall Emmers,FW,2,8.44,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,11.08,4.27,0.18,0.06,0.00,0.01,-0.07,-0.09,-0.04,-0.02,1.84,0.41,0.00
Khusein Askhabov ,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,8.47,2.00,0.40,0.00,0.00,-2.60,-2.33,0.14,-0.10,-0.02,4.13,0.20,0.07
Ovince St. Preux,LHW,1,0.82,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,3.67,1.22,0.00,0.00,0.00,-6.00,-2.87,-0.24,-0.09,-0.02,22.04,0.00,0.00
Philipe Lins,LHW,1,0.82,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,53.88,22.04,0.00,0.00,1.22,44.21,17.95,-0.24,-0.09,1.20,1.22,0.00,0.00
AJ Fletcher,WW,3,12.21,1,2,0,2,0,0,1,0,0,0,1,1,1,0,0,0,9.83,3.50,0.27,0.11,0.00,-0.90,-0.82,0.03,0.02,-0.02,4.78,0.19,0.14
Themba Gorimbo,WW,1,6.62,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,3.93,0.91,0.30,0.30,0.00,-6.80,-3.41,0.06,0.22,-0.02,1.06,0.00,0.00
Clayton Carpenter ,FLW,1,3.22,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,1.55,0.93,0.00,0.00,0.00,-8.05,-2.67,-0.28,-0.10,-0.03,0.31,0.31,0.31
Juancamilo Ronderos ,FLW,2,2.76,0,2,0,0,0,0,0,2,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,16.13,2.18,0.54,0.18,0.00,6.52,-1.43,0.26,0.08,-0.03,2.18,0.00,0.00
Islam Makhachev,LW,6,9.72,6,0,1,0,1,0,4,0,0.17,0.17,0.67,0.83,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.27,3.07,0.43,0.24,0.02,-0.14,-1.02,0.12,0.13,-0.01,2.14,0.12,0.02
Alexander Volkanovski,HW,2,25,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.92,3.70,0.08,0.00,0.02,-0.16,-0.39,-0.10,-0.07,0.00,3.84,0.26,0.08
Yair Rodriguez,FW,3,12.83,2,1,0,1,1,0,1,0,0,0.5,0.5,1,1,0,0,0,15.64,6.34,0.13,0.03,0.00,4.57,2.01,-0.13,-0.07,-0.02,7.12,0.36,0.13
Josh Emmet,FW,3,16.44,2,1,2,0,0,0,0,1,1,0,0,0,0,0,1,1,11.58,3.83,0.16,0.02,0.02,0.51,-0.50,-0.10,-0.08,0.00,5.31,0.08,0.02
