Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
Denis Tiuliulin,MW,3,6.97,1,2,0,0,1,0,0,2,0,1,0,1,0,0,1,1,14.06,5.36,0.10,0.00,0.10,3.89,1.35,-0.18,-0.11,0.08,6.07,0.53,0.14
Tatsuro Taira,FLW,3,9.55,3,0,1,0,0,0,2,0,0.33,0,0.67,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,6.39,2.79,0.49,0.18,0.04,-3.22,-0.81,0.20,0.07,0.01,1.05,0.17,0.07
Jesus Aguilar,FLW,1,4.33,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,0.46,0.46,0.00,0.00,0.00,-9.15,-3.14,-0.28,-0.10,-0.03,0.23,0.23,0.23
Glover Teixeira,LHW,3,19.19,1,2,0,1,0,0,1,1,0,0,1,1,0.5,0,0.5,0.5,8.70,3.63,0.70,0.16,0.00,-0.97,-0.46,0.45,0.07,-0.02,6.60,0.00,0.00
Jamahal Hill,LHW,5,9.64,4,1,1,0,3,0,0,1,0.25,0.75,0,0.75,0,0,1,1,13.54,6.89,0.00,0.00,0.04,3.87,2.79,-0.24,-0.09,0.02,3.51,0.81,0.17
Deiveson Figueiredo,FLW,3,17.48,1,2,1,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,5.17,2.46,0.27,0.08,0.06,-4.44,-1.15,-0.02,-0.03,0.03,3.81,0.19,0.11
Brandon Moreno,FLW,4,16.75,3,1,0,1,2,0,1,0,0,0.67,0.33,1,1,0,0,0,9.45,3.85,0.19,0.09,0.03,-0.16,0.25,-0.09,-0.01,0.00,2.72,0.24,0.07
Neil Magny,WW,6,13.79,3,3,2,1,0,0,1,2,0.67,0,0.33,0.33,0.33,0,0.67,0.67,8.81,2.33,0.35,0.11,0.00,-1.92,-1.98,0.11,0.02,-0.02,2.61,0.17,0.10
Paul Craig,LHW,4,5.8,2,2,0,1,0,1,2,0,0,0,1,1,0.5,0.5,0,0.5,8.75,2.63,0.73,0.04,0.00,-0.92,-1.46,0.49,-0.04,-0.02,4.66,0.13,0.09
Johnny Walker,LHW,4,8.45,2,2,0,1,1,1,1,0,0,0.5,0.5,1,0.5,0.5,0,0.5,5.83,2.34,0.03,0.03,0.03,-3.84,-1.76,-0.21,-0.06,0.01,1.66,0.06,0.03
Mauricia Hua,LHW,1,4.08,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,8.57,4.16,0.00,0.00,0.00,-1.10,0.07,-0.24,-0.09,-0.02,5.14,0.49,0.00
Ihor Potieria,LHW,2,6.32,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,10.45,4.67,0.16,0.00,0.08,0.78,0.58,-0.09,-0.09,0.05,5.38,0.24,0.16
Gregory Rodrigues,MW,6,8.7,4,2,1,1,3,1,0,0,0.25,0.75,0,0.75,0.5,0.5,0,0.5,11.52,6.09,0.29,0.15,0.08,1.35,2.09,0.01,0.05,0.06,5.73,0.11,0.00
Brunno Ferreira ,MW,1,4.22,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.91,5.22,0.47,0.00,0.24,0.75,1.21,0.19,-0.11,0.22,4.98,0.00,0.00
Thiago Moises,LW,5,7.56,3,2,1,0,0,1,2,1,0.33,0,0.67,0.67,0,0.5,0.5,1,8.59,2.70,0.32,0.16,0.00,-1.82,-1.39,0.01,0.05,-0.02,4.76,0.16,0.08
Melquizael Costa,LW,1,9.08,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,7.82,2.53,0.00,0.00,0.00,-2.60,-1.55,-0.30,-0.11,-0.02,2.42,0.77,0.44
Gabriel Bonfim,WW,1,0.82,1,0,0,0,0,0,1,0,0,0,1,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,26.94,11.02,0.00,0.00,0.00,16.21,6.71,-0.24,-0.09,-0.02,11.02,1.22,0.00
Mounir Lazzez,WW,3,6.13,1,2,1,0,0,1,0,1,1,0,0,0,0,0.5,0.5,1,14.95,8.26,0.16,0.00,0.00,4.22,3.95,-0.08,-0.09,-0.02,6.20,0.16,0.05
Shamil Abdurakhimov,HW,3,6.12,0,3,0,0,0,3,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,5.45,2.23,0.05,0.00,0.00,-4.63,-1.86,-0.13,-0.07,-0.02,5.66,0.27,0.16
Jailton Almeida,LHW,4,4.98,4,0,0,0,2,0,2,0,0,0.5,0.5,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.00,5.52,0.60,0.45,0.00,3.34,1.43,0.36,0.37,-0.02,0.10,0.00,0.00
Luan Lacerda,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,12.47,5.33,0.27,0.07,0.00,1.55,1.06,-0.02,-0.03,-0.03,6.87,0.13,0.00
Cody Stamann,BW,4,7.94,2,2,1,1,1,0,0,1,0.5,0.5,0,0.5,0.5,0,0.5,0.5,12.75,5.64,0.25,0.03,0.03,1.84,1.36,-0.04,-0.07,0.00,5.07,0.50,0.19
Ismael Bonfim ,LW,1,7.28,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,7.28,4.67,0.55,0.14,0.14,-3.14,0.58,0.24,0.03,0.11,1.92,0.27,0.00
Terrance McKinney,LW,5,3.03,3,2,0,0,1,2,2,0,0,0.33,0.67,1,0,1,0,1,12.81,4.95,0.40,0.20,0.13,2.39,0.87,0.09,0.09,0.11,4.03,0.40,0.07
Warlley Alves,WW,3,7.69,1,2,0,1,1,1,0,0,0,1,0,1,0.5,0.5,0,0.5,8.66,4.25,0.22,0.09,0.04,-2.07,-0.07,-0.03,0.00,0.02,6.15,0.17,0.00
Nicholas Dalby,WW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,12.40,4.84,0.13,0.02,0.00,1.67,0.53,-0.11,-0.06,-0.02,2.89,0.42,0.13
Saimon Oliveira ,BW,1,7.3,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,10.00,3.15,0.69,0.00,0.00,-0.91,-1.12,0.39,-0.10,-0.03,7.26,0.14,0.00
Daniel Marcos,BW,1,7.3,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.51,7.26,0.14,0.00,0.14,0.59,2.99,-0.15,-0.10,0.11,3.15,0.68,0.00
Sean Strickland ,MW,3,14.2,2,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,14.81,6.60,0.02,0.02,0.00,4.65,2.59,-0.26,-0.08,-0.02,4.34,0.05,0.00
Nassourdine Imavov,MW,5,14.6,3,2,1,2,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,10.04,4.27,0.14,0.04,0.00,-0.12,0.27,-0.14,-0.07,-0.02,4.18,0.26,0.08
Dan Ige,FW,5,12.92,2,3,0,3,2,0,0,0,0,1,0,1,1,0,0,0,9.40,3.52,0.14,0.03,0.03,-1.67,-0.82,-0.12,-0.07,0.01,3.98,0.34,0.19
Damon Jackson,FW,5,10.01,4,1,2,0,1,1,1,0,0.5,0.25,0.25,0.5,0,1,0,1,8.05,3.04,0.42,0.22,0.00,-3.02,-1.30,0.16,0.12,-0.02,2.36,0.16,0.08
Punahele Soriano,MW,5,9.72,2,3,0,2,2,1,0,0,0,1,0,1,0.67,0.33,0,0.33,9.37,4.06,0.10,0.00,0.06,-0.80,0.05,-0.18,-0.11,0.05,4.90,0.41,0.29
Roman Kopylov,MW,3,11.49,2,1,0,1,2,0,0,0,0,1,0,1,1,0,0,0,10.68,5.31,0.09,0.06,0.06,0.51,1.31,-0.19,-0.05,0.04,4.32,0.46,0.03
Umar Nurmagomedov,BW,4,7.89,3,1,1,0,1,0,1,1,0.33,0.33,0.33,0.67,0,0,1,1,9.16,4.85,0.63,0.29,0.03,-1.76,0.57,0.34,0.19,0.01,0.73,0.03,0.00
Raoni Barcelos,BW,4,12.42,1,3,1,2,0,1,0,0,1,0,0,0,0.67,0.33,0,0.33,12.42,5.82,0.26,0.06,0.06,1.51,1.55,-0.03,-0.04,0.03,6.14,0.18,0.00
Javid Basharat,BW,3,15,3,0,3,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,11.22,5.87,0.20,0.11,0.00,0.31,1.59,-0.09,0.01,-0.03,2.76,0.60,0.09
Mateus Mendonca,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.67,1.93,0.73,0.13,0.00,-6.25,-2.34,0.44,0.03,-0.03,6.33,0.33,0.20
Claudio Ribeiro,MW,1,5.47,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,9.88,3.48,0.00,0.00,0.00,-0.28,-0.53,-0.28,-0.11,-0.02,3.11,0.37,0.00
Abdul Razak Alhassan,MW,4,8.94,2,2,0,2,2,0,0,0,0,1,0,1,1,0,0,0,5.71,2.38,0.17,0.08,0.06,-4.46,-1.62,-0.11,-0.02,0.04,2.74,0.90,0.36
Mateusz Rebecki,LW,1,15,1,0,1,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,15.20,5.93,0.27,0.20,0.00,4.79,1.85,-0.04,0.09,-0.02,2.27,0.20,0.07
Nick Fiore,LW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,7.53,2.27,0.20,0.07,0.00,-2.88,-1.82,-0.10,-0.04,-0.02,5.93,0.27,0.20
Allan Nascimento,FLW,3,11.09,2,1,1,1,0,0,1,0,0.5,0,0.5,0.5,1,0,0,0,5.08,1.50,0.27,0.12,0.00,-4.53,-2.10,-0.01,0.02,-0.03,0.87,0.15,0.12
Carlos Hernandez,FLW,2,9.13,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,10.13,4.76,0.49,0.11,0.00,0.52,1.16,0.21,0.01,-0.03,4.65,0.44,0.16
Dan Argueta,FW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,9.50,2.47,0.30,0.17,0.00,-1.57,-1.86,0.04,0.07,-0.02,1.53,0.13,0.07
Nick Aguirre,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.13,0.93,0.00,0.00,0.00,-7.93,-3.40,-0.26,-0.10,-0.02,3.13,0.40,0.27
Jimmy Flick,FLW,1,4.55,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,2.86,1.54,0.66,0.22,0.00,-6.75,-2.07,0.37,0.12,-0.03,7.47,0.00,0.00
Jared Cannonier,MW,4,21.12,3,1,2,1,1,0,0,0,0.67,0.33,0,0.33,1,0,0,0,9.96,4.34,0.06,0.01,0.01,-0.21,0.34,-0.22,-0.09,0.00,4.73,0.17,0.14
Sean Strickland,MW,3,25,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,16.27,6.55,0.09,0.07,0.00,6.10,2.54,-0.19,-0.04,-0.02,5.13,0.11,0.00
Arman tsarukyan,LW,5,12.82,4,1,2,1,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,11.05,3.70,0.69,0.31,0.03,0.63,-0.39,0.38,0.20,0.01,2.20,0.36,0.09
Damir Ismagulov,LW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,11.62,3.80,0.20,0.04,0.00,1.21,-0.28,-0.10,-0.07,-0.02,3.16,0.64,0.18
Amir Albazi,FLW,3,10.59,3,0,1,0,1,0,1,0,0.33,0.33,0.33,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.67,3.68,0.35,0.16,0.06,1.06,0.08,0.06,0.05,0.03,2.74,0.09,0.03
Alessandro Costa,FLW,1,12.22,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,8.76,1.39,0.00,0.00,0.00,-0.85,-2.21,-0.28,-0.10,-0.03,3.03,0.33,0.08
Alex Caceres ,FW,3,8.86,3,0,1,0,1,0,1,0,0.33,0.33,0.33,0.67,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.39,4.14,0.04,0.04,0.04,-2.68,-0.19,-0.23,-0.06,0.02,2.22,0.60,0.04
Julian Erosa,FW,6,8.09,4,2,2,0,1,2,1,0,0.5,0.25,0.25,0.5,0,1,0,1,17.32,7.93,0.33,0.14,0.02,6.26,3.60,0.07,0.04,0.00,7.11,0.04,0.00
Drew Dober,LW,5,9.83,3,2,0,1,3,0,0,1,0,1,0,1,0.5,0,0.5,0.5,10.60,3.99,0.14,0.02,0.06,0.19,-0.10,-0.16,-0.09,0.04,5.09,0.45,0.22
Bobby Green,LW,5,8.71,2,3,1,1,1,2,0,0,0.5,0.5,0,0.5,0.33,0.67,0,0.67,18.81,10.13,0.09,0.00,0.02,8.39,6.04,-0.21,-0.11,0.00,5.46,0.07,0.02
Cody Brundage,MW,4,6.45,2,2,0,1,1,1,1,0,0,0.5,0.5,1,0.5,0.5,0,0.5,5.82,1.82,0.39,0.19,0.04,-4.34,-2.18,0.11,0.09,0.02,2.56,0.62,0.19
Michal Oleksiejczuk,LHW,5,7.74,4,1,1,1,3,0,0,0,0.25,0.75,0,0.75,1,0,0,0,12.19,5.01,0.10,0.03,0.08,2.52,0.92,-0.14,-0.06,0.05,4.78,0.23,0.10
Jake Matthews,WW,3,11.96,1,2,0,1,1,0,0,1,0,1,0,1,0.5,0,0.5,0.5,9.03,2.79,0.06,0.03,0.03,-1.70,-1.53,-0.19,-0.06,0.01,2.79,0.17,0.11
Matthew Semelsberger,WW,6,10.09,4,2,2,2,2,0,0,0,0.5,0.5,0,0.5,1,0,0,0,10.30,3.78,0.12,0.08,0.10,-0.43,-0.53,-0.13,0.00,0.08,4.43,0.20,0.08
Saidyokub Kakhramonov,BW,3,12.83,2,1,1,0,0,0,1,1,0.5,0,0.5,0.5,0,0,1,1,9.98,2.05,0.91,0.44,0.00,-0.94,-2.22,0.62,0.34,-0.03,0.88,0.31,0.05
Maheshate,LW,2,8.12,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,9.73,1.97,0.00,0.00,0.12,-0.68,-2.11,-0.30,-0.11,0.10,3.45,0.68,0.37
Bryan Battle,MW,4,9.5,3,1,1,1,1,0,1,0,0.33,0.33,0.33,0.67,1,0,0,0,9.24,4.42,0.26,0.05,0.03,-0.92,0.42,-0.02,-0.05,0.01,3.87,0.47,0.29
Rinat Fakhretdinov,WW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.30,2.93,0.63,0.40,0.03,-1.43,-1.38,0.39,0.31,0.01,0.70,0.10,0.00
David Dvorak,FLW,3,10.77,1,2,0,2,0,0,1,0,0,0,1,1,1,0,0,0,8.79,2.51,0.16,0.06,0.00,-0.82,-1.10,-0.13,-0.04,-0.03,3.25,0.12,0.00
Manel Kape,FLW,5,10.75,3,2,1,2,2,0,0,0,0.33,0.67,0,0.67,1,0,0,0,9.24,4.46,0.13,0.04,0.07,-0.36,0.86,-0.15,-0.07,0.04,3.92,0.24,0.07
Sergey Morozov,BW,5,12.41,3,2,3,0,0,0,0,2,1,0,0,0,0,0,1,1,9.30,3.01,0.76,0.24,0.02,-1.61,-1.26,0.47,0.14,-0.01,2.97,0.31,0.10
Journey Newson,BW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,9.53,2.77,0.17,0.07,0.00,-1.38,-1.51,-0.12,-0.03,-0.03,2.23,0.43,0.20
Jan Blachowicz ,LHW,4,17.3,2,2,1,0,1,0,0,1,0.5,0.5,0,0.5,0,0,0.5,0.5,8.44,3.19,0.07,0.04,0.00,-1.23,-0.90,-0.17,-0.04,-0.02,2.98,0.29,0.07
Magomed Ankalaev,LHW,5,17.63,4,1,3,0,1,0,0,0,0.75,0.25,0,0.25,0,0,0,0,9.82,3.53,0.28,0.08,0.01,0.16,-0.57,0.04,-0.01,-0.01,2.59,0.09,0.01
Paddy Pimblett,LW,4,7.75,4,0,1,0,1,0,2,0,0.25,0.25,0.5,0.75,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,10.84,4.19,0.26,0.07,0.03,0.43,0.11,-0.05,-0.05,0.01,3.48,0.52,0.23
Jared Gordon,FW,5,14.84,3,2,3,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,11.78,5.20,0.20,0.08,0.00,0.72,0.87,-0.06,-0.02,-0.02,3.10,0.42,0.16
Alex Morono,WW,5,10.23,4,1,3,0,1,1,0,0,0.75,0.25,0,0.25,0,1,0,1,17.24,7.02,0.12,0.00,0.04,6.51,2.71,-0.13,-0.09,0.02,6.02,0.14,0.04
Darren Till,MW,2,12.47,0,2,0,0,0,0,0,2,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,5.90,2.45,0.04,0.04,0.00,-4.27,-1.56,-0.24,-0.07,-0.02,5.09,0.48,0.36
Bryce Mitchell,FW,2,11.58,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,13.08,3.02,0.56,0.22,0.04,2.01,-1.31,0.30,0.12,0.02,2.42,0.00,0.00
Ilia Topuria,FW,3,6.36,3,0,0,0,2,0,1,0,0,0.67,0.33,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,9.44,4.09,0.21,0.05,0.11,-1.63,-0.24,-0.05,-0.05,0.09,3.57,0.63,0.05
Jay Perrin,BW,3,10.91,0,3,0,2,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.67,0,0.33,0.33,9.72,4.09,0.37,0.15,0.00,-1.20,-0.18,0.08,0.05,-0.03,4.49,0.37,0.18
Jairzinho Rozenstruik,HW,5,9.51,2,3,0,2,2,1,0,0,0,1,0,1,0.67,0.33,0,0.33,5.84,1.98,0.00,0.00,0.04,-4.24,-2.12,-0.18,-0.07,0.02,3.34,0.42,0.11
Chris Daukaus,HW,5,3.51,2,3,0,0,2,3,0,0,0,1,0,1,0,1,0,1,11.78,5.47,0.00,0.00,0.11,1.70,1.37,-0.18,-0.07,0.09,4.78,0.11,0.00
Edmen Shahbazyan,MW,3,11.52,1,2,0,1,1,1,0,0,0,1,0,1,0.5,0.5,0,0.5,7.24,3.36,0.15,0.03,0.00,-2.93,-0.65,-0.13,-0.08,-0.02,3.47,0.32,0.09
Dalcha Lungiambula,MW,5,9.77,1,4,1,1,0,2,0,1,1,0,0,0,0.25,0.5,0.25,0.75,9.81,3.63,0.29,0.12,0.00,-0.35,-0.38,0.01,0.02,-0.02,4.46,0.12,0.02
Joaquin Buckley,MW,6,9.58,3,3,1,1,2,2,0,0,0.33,0.67,0,0.67,0.33,0.67,0,0.67,12.92,3.80,0.30,0.10,0.05,2.75,-0.21,0.02,0.00,0.04,3.06,0.35,0.12
Erik Silva,FW,1,13.68,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,3.07,1.54,0.29,0.22,0.00,-8.00,-2.80,0.03,0.12,-0.02,1.75,0.51,0.15
Steven Koslow,BW,1,14.22,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,2.95,0.77,0.63,0.35,0.00,-7.96,-3.50,0.34,0.25,-0.03,3.73,0.00,0.00
Stephen Thompson,WW,3,16.67,1,2,0,2,1,0,0,0,0,1,0,1,1,0,0,0,8.86,4.02,0.02,0.00,0.00,-1.87,-0.29,-0.22,-0.09,-0.02,4.12,0.42,0.24
Brian Barbarena,WW,1,8.33,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,9.48,1.68,0.00,0.00,0.00,-1.25,-2.63,-0.24,-0.09,-0.02,3.48,0.72,0.48
Rafael Dos Anjos,LW,3,17.88,2,1,1,0,0,1,1,0,0.5,0,0.5,0.5,0,1,0,1,9.71,4.33,0.69,0.21,0.02,-0.70,0.24,0.39,0.09,0.00,3.10,0.07,0.00
Matt Schnell,FLW,5,9.67,2,3,1,0,0,1,1,1,0.5,0,0.5,0.5,0,0.33,0.33,0.67,12.86,4.74,0.06,0.04,0.02,3.25,1.13,-0.22,-0.06,-0.01,4.84,0.04,0.04
Tai Tuivasa,HW,6,4.89,4,2,0,0,4,2,0,0,0,1,0,1,0,1,0,1,6.45,3.89,0.03,0.00,0.17,-3.63,-0.20,-0.15,-0.07,0.15,6.45,0.20,0.07
Sergei Pavlovich,HW,3,1.96,3,0,0,0,3,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,19.77,10.06,0.00,0.00,0.68,9.69,5.96,-0.18,-0.07,0.66,3.92,0.17,0.00
Jack Hermansson,MW,4,16.03,2,2,2,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,13.67,5.29,0.36,0.08,0.00,3.50,1.29,0.08,-0.03,-0.02,4.07,0.00,0.00
Eryk Anders,MW,5,9.12,2,3,1,1,1,0,0,1,0.5,0.5,0,0.5,0.33,0,0.33,0.33,12.15,4.48,0.81,0.15,0.04,1.99,0.47,0.53,0.05,0.03,4.34,0.39,0.09
Kyle Daukaus,MW,4,6.92,0,4,0,1,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.25,0.5,0,0.5,8.34,2.82,0.72,0.04,0.00,-1.82,-1.18,0.44,-0.07,-0.02,4.55,0.18,0.11
Niko Price,WW,3,14.48,1,2,1,1,0,1,0,0,1,0,0,0,0.5,0.5,0,0.5,15.86,5.76,0.16,0.02,0.00,5.13,1.44,-0.08,-0.06,-0.02,5.07,0.23,0.12
Phil Rowe,WW,3,10.01,3,0,0,0,3,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,8.59,3.90,0.07,0.03,0.07,-2.14,-0.42,-0.18,-0.05,0.04,4.66,0.50,0.20
Scott Holtzman,LW,2,10.68,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,10.58,3.51,0.05,0.00,0.00,0.16,-0.57,-0.26,-0.11,-0.02,4.91,0.94,0.28
Michael Johnson,LW,4,13.34,2,2,1,2,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,10.76,4.44,0.11,0.02,0.04,0.34,0.36,-0.19,-0.09,0.01,4.16,0.37,0.06
Marc Diakiese,LW,4,11.7,2,2,2,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,6.43,1.88,0.77,0.41,0.00,-3.98,-2.20,0.46,0.29,-0.02,2.26,0.09,0.00
Darren Elkins,FW,4,10.25,2,2,1,1,1,1,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,15.56,3.76,0.46,0.20,0.00,4.49,-0.58,0.20,0.10,-0.02,5.20,0.22,0.10
Jonathan Pearce,FW,4,11.92,4,0,2,0,1,0,1,0,0.5,0.25,0.25,0.5,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,13.40,4.82,0.69,0.38,0.00,2.33,0.49,0.43,0.28,-0.02,2.22,0.29,0.15
Natan Levy,LW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,9.40,4.58,0.73,0.40,0.00,-1.01,0.49,0.43,0.29,-0.02,4.18,0.36,0.22
Genaro Valdez,LW,2,9.13,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,11.56,3.23,0.06,0.00,0.00,1.15,-0.85,-0.25,-0.11,-0.02,6.96,0.55,0.33
Marcelo Rojo,FW,3,10.85,0,3,0,0,0,2,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.67,0.33,1,13.24,4.92,0.06,0.03,0.00,2.17,0.58,-0.20,-0.07,-0.02,6.42,0.37,0.12
Francis Marshall,FW,1,6.23,1,0,0,0,1,0,0,0,0,1,0,1,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,14.28,3.69,0.48,0.16,0.16,3.21,-0.64,0.22,0.06,0.14,4.97,0.00,0.00
Kennedy Nzechukwu,LHW,6,9.18,4,2,0,1,4,1,0,0,0,1,0,1,0.5,0.5,0,0.5,10.82,4.69,0.16,0.09,0.04,1.15,0.59,-0.08,0.01,0.01,4.61,0.51,0.09
Chase Sherman,HW,6,10.46,1,5,0,3,1,0,0,2,0,1,0,1,0.6,0,0.4,0.4,14.26,6.66,0.03,0.02,0.02,4.18,2.56,-0.15,-0.06,-0.01,8.57,0.19,0.08
Waldo Cortes-Acosta,HW,2,15,2,0,2,0,0,0,0,0,1,0,0,0,No Dec Loss,No KO Loss,No Sub Loss,No Finish Loss,14.67,7.33,0.00,0.00,0.00,4.59,3.24,-0.18,-0.07,-0.02,4.07,0.10,0.03
Andre Fialho,WW,5,8.14,2,3,0,1,2,2,0,0,0,1,0,1,0.33,0.67,0,0.67,8.60,3.17,0.00,0.00,0.05,-2.13,-1.14,-0.24,-0.09,0.03,6.22,0.17,0.05
Muslim Salikhov,WW,3,11.89,2,1,1,0,1,1,0,0,0.5,0.5,0,0.5,0,1,0,1,8.94,3.95,0.25,0.11,0.03,-1.79,-0.36,0.01,0.03,0.01,2.63,0.08,0.03
Danny Roberts,WW,2,9.2,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,8.75,2.23,0.05,0.00,0.00,-1.98,-2.09,-0.19,-0.09,-0.02,6.14,0.05,0.00
Zhalgas Zhumagulov,FLW,5,10.21,1,4,0,3,0,1,1,0,0,0,1,1,0.75,0.25,0,0.25,12.87,5.01,0.39,0.08,0.00,3.26,1.41,0.11,-0.03,-0.03,5.74,0.12,0.04
Vince Morales,BW,4,11.76,2,2,1,2,1,0,0,0,0.5,0.5,0,0.5,1,0,0,0,11.84,4.10,0.09,0.02,0.02,0.93,-0.17,-0.21,-0.08,-0.01,4.34,0.40,0.13
Miles Johns,BW,3,12.63,2,1,1,0,1,0,0,1,0.5,0.5,0,0.5,0,0,1,1,8.26,4.01,0.34,0.03,0.03,-2.65,-0.26,0.05,-0.07,0.00,3.40,0.16,0.00
Ricky Turcios,BW,3,15,2,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,16.44,4.33,0.24,0.09,0.02,5.53,0.06,-0.05,-0.01,0.00,3.58,0.53,0.29
Kevin Natividad,BW,2,7.92,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,7.39,2.78,0.82,0.44,0.06,-3.52,-1.50,0.53,0.34,0.04,4.74,0.32,0.13
