Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Jimmie Rivera,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,12.867,4.333,0.333,0.067,0,1.954,0.059,0.0422,-0.0314,-0.0264
Vince Cachero,BW,1,12.63,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,4.354,1.187,0.158,0,0,-6.559,-3.087,-0.1328,-0.0984,-0.0264
Charles Rose,FLW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.4,1,0.067,0,0,-6.2088,-2.6056,-0.2173,-0.104,-0.0297
Alistair Overeem,HW,1,7.1,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,2.817,1.408,0.141,0,0,-7.2629,-2.6852,-0.0413,-0.0749,-0.0228
Martin Day,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.067,0.533,0,0,0,-7.9999,-3.7988,-0.2637,-0.1,-0.0191
Andrew Sanchez,MW,1,12.98,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,11.091,3.697,0.154,0,0,0.9281,-0.3057,-0.1256,-0.1067,-0.0155
Antonio Carlos,MW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9,2.267,0.8,0.067,0,-1.1629,-1.7357,0.5204,-0.0397,-0.0155
Nik Lentz,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,9.133,3.067,0.333,0.067,0,-1.9339,-1.2648,0.0693,-0.033,-0.0191
Vinicius Moreira,LHW,1,5.65,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,7.434,4.248,0,0,0,-2.2345,0.1544,-0.2435,-0.0851,-0.0242
Tom Breese,MW,1,6.68,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,1.796,0.15,0.15,0,0,-8.3669,-3.8527,-0.1296,-0.1067,-0.0155
Markus Perez,MW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,5,1.667,0.067,0,0,-5.1629,-2.3357,-0.2126,-0.1067,-0.0155
Matt Brown ,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,3.467,1.867,0.4,0.067,0,-7.2628,-2.4468,0.1574,-0.0195,-0.0226
david Zawada,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,12.667,2.933,0.067,0.067,0,1.9372,-1.3808,-0.1756,-0.0195,-0.0226
Jacob Kilburn,FW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,14.4,4.267,1.2,0.067,0,3.3331,-0.0648,0.9363,-0.033,-0.0191
