Name,Weight Class,Total Fights,Avg Time Elapsed,Wins,Loss,Decision Wins,Dec Losses,KO/TKO Wins,KO/TKO Loss,Sub Win,Sub Loss,Dec%,KO%,Sub%,Finish%,Loss Dec%,Loss KO%,Loss Sub%,Loss Finish%,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Hu Yaozong,MW,1,14.77,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,4.537,1.693,0,0,0,-5.6259,-2.3097,-0.2796,-0.1067,-0.0155
Ricky Glenn,LW,2,7.81,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,8.068,2.433,0,0,0.128,-2.3445,-1.6512,-0.3042,-0.1115,0.1058
Laureano Strapoli ,MW,2,15,0,2,0,2,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,4.767,1.133,0.467,0.133,0,-5.3959,-2.8697,0.1874,0.0263,-0.0155
Khama Worthy,LW,2,1.78,0,2,0,0,0,2,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,8.732,4.507,0,0,0,-1.6805,0.4228,-0.3042,-0.1115,-0.0222
Zviad Lazishvili,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,10.867,4.2,0.4,0,0,-0.046,-0.074,0.1092,-0.0984,-0.0264
Gaetano Pirrello ,BW,2,5.53,0,2,0,0,0,1,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0.5,1,2.169,0.994,0,0,0,-8.744,-3.28,-0.2908,-0.0984,-0.0264
Johnny Eduardo,BW,1,9.22,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,7.161,3.363,0.108,0.108,0,-3.752,-0.911,-0.1828,0.0096,-0.0264
Martin Sano,WW,1,0.25,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,12,4,0,0,0,1.2702,-0.3138,-0.2426,-0.0865,-0.0226
Antonio Arroyo,MW,1,7.43,0,1,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,1,0,1,7.668,2.825,0,0,0,-2.4949,-1.1777,-0.2796,-0.1067,-0.0155
Mike Rodriguez,LHW,2,12.43,0,2,0,1,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0,0.5,0.5,8.003,2.614,0,0,0,-1.6655,-1.4796,-0.2435,-0.0851,-0.0242
Impa Kasanganay,WW,2,4.03,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,7.686,2.355,0.744,0.248,0,-3.0438,-1.9588,0.5014,0.1615,-0.0226
Gustavo Lopez,BW,2,12.73,0,2,0,0,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0.5,0,0.5,6.68,2.633,0.354,0.118,0,-4.233,-1.641,0.0632,0.0196,-0.0264
David Zawada,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,14,5.733,0.133,0.067,0,3.2702,1.4192,-0.1096,-0.0195,-0.0226
Luigi Vendramini,LW,2,9.71,0,2,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.5,0.5,0,0.5,8.858,3.039,0.361,0.103,0,-1.5545,-1.0452,0.0568,-0.0085,-0.0222
Liudvik Sholinan,BW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,7.2,1.267,0.267,0,0,-3.713,-3.007,-0.0238,-0.0984,-0.0264
Gilbert Urbina,MW,1,7.25,0,1,0,0,0,0,0,1,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0,0,1,1,13.103,6.207,0.828,0.276,0,2.9401,2.2043,0.5484,0.1693,-0.0155
Kevin Lee,WW,1,15,0,1,0,1,0,0,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,1,0,0,0,12.067,3.733,0.467,0.2,0,1.3372,-0.5808,0.2244,0.1135,-0.0226
Darren Stewart,MW,3,7.56,0,3,0,1,0,1,0,0,No Dec Wins,No KO Wins,No Sub Wins,No Finish Wins,0.33,0.33,0,0.33,7.979,2.91,0.265,0.176,0,-2.1839,-1.0927,-0.0146,0.0693,-0.0155
Austin Hubbard,LW,2,15,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,11.733,4.1,0.267,0.167,0,1.3205,0.0158,-0.0372,0.0555,-0.0222
