Name,Weight Class,Total Fights,Strikes Thrown Per Minute Difference,Sig Strikes Per Minute Difference,TDA Per Minute Difference,TDL Per Minute Difference,KD Per Minute Difference
Amir Albazi,FLW,3,1.0572,0.07540000000000013,0.06169999999999998,0.053000000000000005,0.033299999999999996
Alessandro Costa,FLW,1,-0.8498000000000001,-2.2136,-0.2843,-0.104,-0.0297
Alex Caceres ,FW,3,-2.677900000000001,-0.19380000000000042,-0.22569999999999998,-0.062000000000000006,0.0189
Julian Erosa,FW,6,6.255099999999999,3.5981999999999994,0.06630000000000003,0.043999999999999984,0.0019000000000000024
Drew Dober,LW,5,0.1875,-0.09620000000000006,-0.16220000000000004,-0.0915,0.0388
Bobby Green,LW,5,8.393500000000001,6.041799999999999,-0.21220000000000003,-0.1115,0.0007999999999999986
Cody Brundage,MW,4,-4.344900000000001,-2.1797,0.1084,0.0873,0.0235
Michal Oleksiejczuk,LHW,5,2.522500000000001,0.9173999999999998,-0.1405,-0.0591,0.0528
Jake Matthews,WW,3,-1.6967999999999996,-1.5257999999999998,-0.18660000000000002,-0.058499999999999996,0.005400000000000002
Matthew Semelsberger,WW,6,-0.4347999999999992,-0.5297999999999998,-0.1266,-0.0034999999999999892,0.07640000000000001
Saidyokub Kakhramonov,BW,3,-0.9350000000000005,-2.221,0.6182000000000001,0.3436,-0.0264
Maheshate,LW,2,-0.6794999999999991,-2.1132,-0.3042,-0.1115,0.1008
Bryan Battle,MW,4,-0.9219000000000008,0.4203000000000001,-0.016600000000000004,-0.053700000000000005,0.010499999999999999
Rinat Fakhretdinov,WW,2,-1.4297999999999984,-1.3807999999999998,0.39039999999999997,0.3135,0.010400000000000003
David Dvorak,FLW,3,-0.8158000000000012,-1.0976,-0.1293,-0.041999999999999996,-0.0297
Manel Kape,FLW,5,-0.3648000000000007,0.8584000000000005,-0.1543,-0.067,0.04429999999999999
Sergey Morozov,BW,5,-1.6140000000000008,-1.2600000000000002,0.4662,0.1436,-0.0104
Journey Newson,BW,2,-1.3800000000000008,-1.5070000000000001,-0.1238,-0.0314,-0.0264
Jan Blachowicz ,LHW,4,-1.2315000000000005,-0.9006000000000003,-0.17149999999999999,-0.0421,-0.0242
Magomed Ankalaev,LHW,5,0.15549999999999997,-0.5656000000000003,0.04049999999999998,-0.006099999999999994,-0.0132
Paddy Pimblett,LW,4,0.42650000000000077,0.1097999999999999,-0.04620000000000002,-0.0465,0.0098
Jared Gordon,FW,5,0.7150999999999996,0.8712,-0.06169999999999998,-0.019000000000000003,-0.0191
Alex Morono,WW,5,6.513199999999999,2.7052000000000005,-0.1256,-0.0865,0.0164
Darren Till,MW,2,-4.266900000000001,-1.5556999999999999,-0.2396,-0.06670000000000001,-0.0155
Bryce Mitchell,FW,2,2.0121,-1.3098000000000005,0.29730000000000006,0.11599999999999999,0.023899999999999998
Ilia Topuria,FW,3,-1.6258999999999997,-0.24080000000000013,-0.0537,-0.04800000000000001,0.0859
Jay Perrin,BW,3,-1.1980000000000004,-0.17999999999999972,0.07619999999999999,0.054599999999999996,-0.0264
Jairzinho Rozenstruik,HW,5,-4.2359,-2.1172000000000004,-0.1823,-0.0749,0.019200000000000002
Chris Daukaus,HW,5,1.7041000000000004,1.3717999999999995,-0.1823,-0.0749,0.0912
Edmen Shahbazyan,MW,3,-2.9269000000000007,-0.6456999999999997,-0.13460000000000003,-0.0777,-0.0155
Dalcha Lungiambula,MW,5,-0.3539000000000012,-0.3776999999999999,0.007399999999999962,0.016299999999999995,-0.0155
Joaquin Buckley,MW,6,2.7531,-0.2077,0.01639999999999997,-0.002700000000000008,0.0365
Erik Silva,FW,1,-7.9979000000000005,-2.7968,0.028299999999999992,0.119,-0.0191
Steven Koslow,BW,1,-7.959,-3.5,0.3422,0.2536,-0.0264
Stephen Thompson,WW,3,-1.8697999999999997,-0.29380000000000006,-0.22260000000000002,-0.0865,-0.0226
Brian Barbarena,WW,1,-1.2497999999999987,-2.6338,-0.2426,-0.0865,-0.0226
Rafael Dos Anjos,LW,3,-0.6984999999999992,0.24179999999999957,0.3857999999999999,0.09349999999999999,-0.0032000000000000015
Matt Schnell,FLW,5,3.251199999999999,1.1294000000000004,-0.2223,-0.063,-0.0087
Tai Tuivasa,HW,6,-3.6329000000000002,-0.2042000000000006,-0.1483,-0.0749,0.1482
Sergei Pavlovich,HW,3,9.6931,5.9638,-0.1823,-0.0749,0.6592
Jack Hermansson,MW,4,3.5031,1.2862999999999998,0.07939999999999997,-0.028700000000000003,-0.0155
Eryk Anders,MW,5,1.9910999999999994,0.4722999999999997,0.5324,0.047299999999999995,0.028499999999999998
Kyle Daukaus,MW,4,-1.818900000000001,-1.1846999999999999,0.44239999999999996,-0.07070000000000001,-0.0155
Niko Price,WW,3,5.1332,1.4422000000000006,-0.0816,-0.0635,-0.0226
Phil Rowe,WW,3,-2.1397999999999993,-0.4177999999999997,-0.1756,-0.05349999999999999,0.04440000000000001
Scott Holtzman,LW,2,0.1645000000000003,-0.5742000000000003,-0.25720000000000004,-0.1115,-0.0222
