Weight Class,Total Fights,Total Strikes Thrown,Total Sig Strikes,Total Time Elapsed,Total Takedown Attempt,Total Takedown Landed,Total Knockdowns,Total Control Time,Wins,Decision Wins,Losses,Decision Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Cntrl Proportion,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
BW,4.582155759178778,745.5045602548969,311.9287421169452,3698.1309000007914,26.598303543489667,9.686315683758782,2.837729733966899,830.330222312972,3.155572951914059,1.8867799096189757,2.514236826255195,2.0820340454970774,18.408177400891713,7.78660656074422,0.6577242266116516,0.2626310106832335,0.5783997256186171,0.3841273210723624,2.0980607230149393,1.8127811733070227,1.396755179753211,2.2025890539674755,9.049166095178094,0.626941418747341,0.31883596876035913
FLW,4.75293734752473,533.1131841983004,212.04397998263357,3003.6577894594802,19.2503412876976,8.192687521617305,2.596425938538622,912.6891526704117,3.217612378999868,1.5590370728748297,2.7543159624122433,1.9438520783849143,15.493888446400714,6.4171498813228425,0.6135139149626826,0.2864538784541237,0.0755240848463867,0.44502344232644964,2.531799048460652,2.0787376894546394,1.396755179753211,2.1160254037844384,7.382450626201985,0.6788194013835798,0.3562443264064181
FW,4.703131732850753,771.666300215711,334.6825391436426,3548.480301361279,20.177411631660544,8.600909953542576,1.6930818966516223,957.0752744521244,3.071559978090196,2.0309554505048384,2.6720000543308786,2.0217847877937207,15.98944854655517,6.912778168920743,0.6647076496462776,0.23990961970692964,0.07343510153108627,0.42562138042757214,1.878607934061448,1.7959628837736485,1.0,1.0,7.0427078121084605,0.6256892213644438,0.2420455949074703
HW,5.489579432150743,611.6823037005065,267.00958568377763,3392.567999503552,14.304878012916411,6.68545926642394,2.1028889334560272,758.0387577055865,3.282148648528003,1.7002956862442238,3.4108416442692695,2.29457998812628,15.414898495951388,6.901803964524175,0.5370514533236849,0.33845472407527394,0.19253688379783215,0.45479251732348847,3.0091575765238385,2.7583057392117913,1.9443650748294137,1.6553300858899107,7.133926318364974,0.5148790510110863,0.27554077208799255
LHW,5.678617911994983,714.0319533482776,307.9261764015735,4244.851172465683,23.107300537856904,9.046256399982997,2.345068747090347,911.3021407502338,3.701909737983429,1.827550738734462,3.00300294430083,1.891963726979935,20.041943829901125,8.837103801625254,0.6927217715642311,0.29014379311315963,0.29419567379907563,0.4683934818491862,2.724701449728463,1.891963726979935,1.8324555320336757,1.832455532033676,10.60485105590078,0.5861313598230059,0.26711091193089936
LW,4.787083572193775,603.8231332412346,242.3222693279443,3225.5902378873548,25.448512510677283,10.011661854416515,2.033578258562116,976.1908031668945,3.16837803033721,1.6009956912237024,2.5946691170910445,1.8415521633787053,14.975959892701022,7.007856449461686,0.767134199406664,0.33006433460445705,0.13024355582362893,0.4464877979070459,2.130799281752762,1.7670486617043015,1.3130257658862674,2.6100193048514324,9.004429273226048,0.8641576834207633,0.41394979608423577
MW,5.45760815518537,735.1438772087557,295.70132775736954,3927.9821738050596,24.7460944818855,10.407900807779741,1.7494199677294362,997.5190070505516,3.3953152162945086,1.9117059525534401,3.085600991786772,1.877899110212934,15.092503162396973,7.72872201578657,0.7436945249290995,0.30330509419545826,0.5165194842437928,0.4841481641680644,2.531335987164463,2.072405613478998,1.6519521887959738,2.7447988350699886,7.097276278712312,0.6634526076893206,0.2852479524630034
WW,4.656039354922713,687.2413326991914,280.34640320563244,3472.0390339772903,17.995921806389383,7.015189248727751,2.436882293740565,849.8148272203416,3.223228726286905,1.9699407809887888,2.6102781012398673,1.8977388992561752,17.498968774352317,7.594916969547696,0.6332991314340721,0.24498474974506085,0.1518198814053559,0.44131745614640694,2.2260118869011896,1.8689611064844023,1.3562498819551774,2.13954750271799,8.022040445931191,0.7148293978577682,0.3288024614374073
