Weight Class,Total Fights,Total Strikes Thrown,Total Sig Strikes,Total Time Elapsed,Total Takedown Attempt,Total Takedown Landed,Total Knockdowns,Total Control Time,Wins,Decision Wins,Losses,Decision Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Cntrl Proportion,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
BW,2.4454545454545453,314.91818181818184,124.35454545454546,1732.7454545454545,8.581818181818182,2.909090909090909,0.7818181818181819,284.6909090909091,1.190909090909091,0.6181818181818182,1.2545454545454546,1.2830188679245282,10.733468208098346,4.142341801919641,0.26050434743287243,0.08758727881210653,0.056359453603830365,0.14797352550413662,1.2571428571428571,1.1578947368421053,1.0526315789473684,1.2857142857142858,4.756282691414986,0.27035996182541655,0.1088008466849257
FLW,2.593220338983051,246.91525423728814,92.89830508474576,1557.406779661017,6.966101694915254,2.593220338983051,0.7627118644067796,322.08474576271186,1.271186440677966,0.5423728813559322,1.3220338983050848,1.206896551724138,8.924709575727876,3.303433230978287,0.25005483271832063,0.0919420701843099,0.023460030316694032,0.18095085810020736,1.3529411764705883,1.2352941176470589,1.0526315789473684,1.25,3.7851397092906063,0.29369119201524174,0.1285634656204606
FW,2.619047619047619,345.54285714285714,135.17142857142858,1872.4857142857143,8.047619047619047,3.0,0.5142857142857142,371.23809523809524,1.276190476190476,0.7523809523809524,1.3428571428571427,1.2542372881355932,10.314537275473757,3.9952102768674544,0.26924021350901595,0.09382998482224676,0.019925822026327884,0.19409647353495957,1.2333333333333334,1.1935483870967742,1.0,1.0,4.175061715102288,0.2881977601558328,0.10222355836979748
HW,2.8620689655172415,268.3448275862069,108.29310344827586,1588.344827586207,4.637931034482759,1.8448275862068966,0.6206896551724138,274.01724137931035,1.3620689655172413,0.5344827586206896,1.5,1.4090909090909092,9.600005554337773,3.91436986363562,0.19433139626655935,0.08669893223510604,0.03879572960074665,0.18066927498333366,1.6956521739130435,1.5,1.25,1.125,4.191473372508586,0.18970669797001455,0.07725020734650892
LHW,3.0350877192982457,303.70175438596493,128.68421052631578,1911.9298245614036,7.912280701754386,2.807017543859649,0.8070175438596491,338.280701754386,1.5614035087719298,0.5964912280701754,1.4736842105263157,1.1785714285714286,10.082936563117725,4.357247604947997,0.2503011630461018,0.08888454208550192,0.04747065877892602,0.1716158535490357,1.5357142857142858,1.1785714285714286,1.2,1.2,4.761258411130775,0.22922526591777811,0.08994856097533034
LW,2.5641025641025643,274.71794871794873,107.3076923076923,1583.940170940171,8.2991452991453,3.0683760683760686,0.6153846153846154,322.21367521367523,1.264957264957265,0.5299145299145299,1.2991452991452992,1.1851851851851851,10.12135887756945,4.060617962728152,0.29728900429788535,0.10840349124801049,0.031473905858261424,0.1739303517427666,1.2926829268292683,1.1818181818181819,1.0344827586206897,1.5,4.555764705722948,0.3565362974797952,0.13988741070480212
MW,2.9607843137254903,324.921568627451,128.30392156862746,1915.3921568627452,8.794117647058824,3.3333333333333335,0.47058823529411764,361.5098039215686,1.4215686274509804,0.6078431372549019,1.5392156862745099,1.2352941176470589,9.718237005275837,3.9644540981069003,0.2944968165200227,0.10723740291839089,0.04683008887983891,0.19708685783673893,1.5161290322580645,1.302325581395349,1.1333333333333333,1.44,4.046001762324852,0.28536870839056405,0.11313115582353679
WW,2.607843137254902,299.47058823529414,119.8529411764706,1666.2058823529412,6.794117647058823,2.4411764705882355,0.6666666666666666,312.87254901960785,1.2843137254901962,0.6176470588235294,1.3235294117647058,1.2115384615384615,10.54436898628176,4.2206398927133515,0.25574607642223407,0.08902192387502761,0.03380769427396549,0.1811345785661663,1.3333333333333333,1.1842105263157894,1.0434782608695652,1.2777777777777777,4.516545880772375,0.28173525214106365,0.1037903241232398
