Weight Class,Total Fights,Total Strikes Thrown,Total Sig Strikes,Total Time Elapsed,Total Takedown Attempt,Total Takedown Landed,Total Knockdowns,Total Control Time,Wins,Decision Wins,Losses,Decision Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,TDA/Min,TDL/Min,KD/Min,Cntrl Proportion,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins,Sig Strikes Absorbed per Minute,Takedowns Faced per Minute,Takedowns Suffered per Minute
BW,0.30875333173031283,-115.66819661853322,-63.219651207854284,-232.6399909098825,-9.434667179853303,-3.868133865576964,-1.2740933703305357,-260.9484041311537,-0.7737547700958773,-0.6504162732553394,-0.005145917164285585,0.4840036903519793,3.058759015304979,0.49807704309506207,-0.13671553174590678,-0.08745645305902046,-0.4656808184109564,-0.08818027006408918,0.41622499127077506,0.503008300377188,0.7085079781415258,0.3688395174610959,0.4633992876518791,-0.08622149509650795,-0.10123427539050772
FLW,0.43350333044137157,-39.28267572372408,-26.247369813142072,111.15576986255405,-5.318137897867095,-3.006246843651204,-1.0710022097250629,-268.519661144988,-0.6752394976439358,-0.47429131016296544,-0.11024816580207397,0.46994102506336166,2.3555307050550374,0.18971658063373065,-0.11340424952604133,-0.10256973808550389,-0.02860402421299863,-0.08312172612603494,0.17408330448052478,0.3918505458394783,0.7085079781415258,0.3839745962155614,0.18782879237922812,-0.09143701735309623,-0.09911739516549697
FW,0.5349635052444852,-80.58058592999669,-64.33968200078544,196.49112721014922,-4.082173536422449,-2.600909953542576,-0.6645104680801939,-214.59908397593398,-0.5191790257092441,-0.5261935457429336,0.013714231383406883,0.4866897884774657,4.639626004392344,1.0776423848141663,-0.12622722262824565,-0.052249650062436134,-0.033583457478430515,-0.037428433357653,0.5880587326052187,0.5911338904198999,1.0,1.0,1.3074156180961154,-0.04929370105277814,-0.03759847816787533
HW,0.23455849888374036,-74.99264852809262,-50.4233787872259,-215.87834433113812,-5.029015943950895,-2.995804094010146,-0.8615096231111995,-210.00427494696578,-0.5580107174935203,-0.6313301690028447,-0.4108416442692695,0.5236018300555384,3.785112612724159,0.9269357627470645,-0.1483886607905662,-0.16505685960506183,-0.11494542459633886,-0.09345396735682118,0.3821467713022484,0.24169426078820844,0.5556349251705863,0.5946699141100893,1.2490204266521974,-0.1354656550710573,-0.12104035739497468
LHW,0.3915575266015088,-106.62844457634776,-50.55775534894195,-420.99152334287555,-7.282739134348131,-3.4322213122636995,-0.7310336593710488,-234.74073724146183,-0.5791027204395696,-0.6345682825941114,-0.05563452324819873,0.4651791301629222,0.12392929633432459,-0.12260859172925986,-0.19211944547202747,-0.11237470894215576,-0.19925435624122356,-0.12516177475111484,0.34672712170010866,0.4651791301629222,0.5675444679663241,0.567544467966324,-1.0823342336392283,-0.12768082798744965,-0.0872137899802387
LW,0.34112155601135363,-54.38723580533713,-27.70688471255967,-57.70989600701296,-8.850221912386685,-3.874909717664378,-0.8028090277928852,-331.7634527395441,-0.6384635004226804,-0.5411666313946425,0.0036214811995538554,0.5288182069916649,5.2667578624378795,1.1133794759946185,-0.1725561908108934,-0.11325735210843604,-0.06729574410710609,-0.09862709442151268,0.45456657190577454,0.5965877019320622,0.7559397513551119,0.3899806951485676,0.10710013821984798,-0.15108508846117286,-0.1341749746746315
MW,0.46396047226561077,-85.30073995385374,-39.09348462011462,-97.19786007956918,-7.1578591877678495,-3.741234141113075,-0.8082434971412008,-274.4993992074144,-0.5521779613925477,-0.6960196780436362,-0.007169619237752167,0.5926891250811838,4.343970848154702,0.2001861804272309,-0.15470089188905412,-0.08883028835867647,-0.422859306484115,-0.0899744484945865,0.500922077351666,0.5322455493117,0.6147144778706928,0.13520116493001133,0.9947272459373915,-0.09271519090819247,-0.05898564081592979
WW,0.5596469195870912,-88.3001562286031,-40.64052085269124,-139.62726927140807,-4.407686512271735,-2.1328363075512797,-1.103548960407232,-224.06972918112592,-0.6546012753065125,-0.7346466633417299,0.036780722289544654,0.5253380238207476,3.5897691982112043,0.8463628158790071,-0.12180697858960404,-0.06694090199500563,-0.08420449285742494,-0.07904829901407431,0.44065477976547685,0.4994599461471766,0.7307066397839529,0.41600805283756537,1.0110513156135585,-0.15135889357564092,-0.1212218131909277
