Name,Height,Reach,Stance
Rafael Cavalcante,"6' 1""","74.0""",Orthodox
Magnus Cedenblad,"6' 5""","79.0""",Orthodox
Yosdenis Cedeno,"5' 8""","69.0""",Orthodox
Henry Cejudo,"5' 4""","64.0""",Orthodox
Adam Cella,"6' 2""",--,
Vinicius Cenci,"6' 1""","74.0""",Orthodox
Donald Cerrone,"6' 1""","73.0""",Orthodox
Jared Chaffee,"5' 10""",--,
Luan Chagas,"6' 0""","75.0""",Orthodox
Edgar Chairez,"5' 7""",--,Orthodox
Ansar Chalangov,"5' 9""",--,Orthodox
Alex Chambers,"5' 3""","63.0""",Southpaw
Michael Chandler,"5' 8""","71.0""",Orthodox
Chelsea Chandler,"5' 8""","68.0""",Southpaw
Donnie Chappell,"5' 11""",--,Southpaw
Joe Charles,"6' 1""",--,Southpaw
Dan Charles,"6' 2""",--,
Ernest Chavez,"5' 8""","70.0""",Orthodox
Emilio Chavez,"5' 9""",--,
Danny Chavez,"5' 8""","67.0""",Orthodox
Gabriel Checco,"6' 1""",--,Switch
Albert Cheng,"5' 11""",--,Orthodox
Fabio Cherant,"6' 1""","74.0""",Southpaw
Ion Cherdivara,--,--,
Mark Cherico,"5' 7""","69.0""",Orthodox
Macy Chiasson,"5' 11""","72.0""",Orthodox
Michael Chiesa,"6' 1""","75.0""",Southpaw
Giga Chikadze,"6' 0""","74.0""",Orthodox
Khamzat Chimaev,"6' 2""","75.0""",Orthodox
Sako Chivitchian,"5' 11""",--,
Mu Bae Choi,"6' 2""",--,Orthodox
Hong Man Choi,"7' 2""",--,Orthodox
Dooho Choi,"5' 10""","70.0""",Orthodox
Seung-Woo Choi,"6' 0""","74.0""",Orthodox
SeungGuk Choi,"5' 6""","64.0""",Orthodox
John Cholish,"5' 11""","74.0""",Orthodox
Ryo Chonan,"5' 9""","70.0""",Orthodox
Katlyn Chookagian,"5' 9""","68.0""",Orthodox
Will Chope,"6' 4""",--,Switch
Joachim Christensen,"6' 3""","76.0""",Orthodox
Dan Christison,"6' 8""",--,Orthodox
Anthony Christodoulou,"5' 9""",--,Orthodox
Murad Chunkaiev,"5' 11""",--,Orthodox
Cameron Church,"5' 11""","72.0""",Orthodox
Steven Ciaccio,"6' 0""",--,
Mike Ciesnolevicz,"6' 0""",--,Orthodox
Hannah Cifers,"5' 1""","62.0""",Orthodox
Branko Cikatic,"6' 1""",--,Orthodox
Nikolajus Cilkinas,--,--,Orthodox
Misha Cirkunov,"6' 3""","77.0""",Orthodox
Johnny Cisneros,"5' 11""",--,
Laverne Clark,"5' 11""",--,Orthodox
Logan Clark,"6' 2""",--,Orthodox
Mychal Clark,"6' 3""",--,Orthodox
Dominic Clark,"5' 10""",--,
Heather Clark,"5' 6""","64.0""",Orthodox
Devin Clark,"6' 0""","75.0""",Orthodox
Jessica-Rose Clark,"5' 5""","64.0""",Orthodox
John Clarke,--,--,
Mitch Clarke,"5' 10""","73.0""",Orthodox
Rich Clementi,"5' 9""","72.0""",Southpaw
Chris Clements,"5' 10""","70.0""",Orthodox
RJ Clifford,--,--,
Mark Climaco,--,--,
Josh Clopton,"5' 6""",--,Orthodox
Brian Cobb,"5' 11""",--,Orthodox
Darryl Cobb,"5' 9""",--,
Dave Cochran,"5' 6""",--,
Dakota Cochrane,"5' 8""",--,
Marloes Coenen,"5' 9""","67.0""",
Marc Cofer,--,--,
John Cofer,"5' 9""",--,Southpaw
Chris Coggins,--,--,
Felipe Colares,"5' 8""","69.0""",Orthodox
Wayne Cole,"6' 1""",--,Orthodox
Devin Cole,"6' 4""",--,Orthodox
Coltin Cole,--,--,
Ivan Cole,"5' 9""",--,
Mark Coleman,"6' 1""","75.0""",Orthodox
Cortez Coleman,"6' 1""",--,
Clay Collard,"5' 11""","73.0""",Orthodox
Jamie Colleen,"5' 3""","65.0""",Orthodox
Jake Collier,"6' 3""","78.0""",Orthodox
Christian Colombo,"6' 5""",--,Orthodox
Willian Colorado,"5' 10""","72.0""",
Wes Combs,"6' 2""",--,Orthodox
Carlos Condit,"6' 2""","75.0""",Orthodox
Chris Condo,"6' 0""",--,Orthodox
Montserrat Conejo,"5' 0""","61.0""",Southpaw
Tristan Connelly,"5' 10""","68.0""",Orthodox
Marcos Conrado Jr.,"6' 2""",--,Orthodox
Jeremiah Constant,"6' 1""",--,Orthodox
Jonathan Contrestano,--,--,
Bob Cook,"5' 9""",--,Orthodox
Mike Cook,"6' 1""",--,Orthodox
Chad Cook,"6' 2""",--,
TJ Cook,--,--,
Dewey Cooper,--,--,
Brett Cooper,"6' 0""",--,Orthodox
Bill Cooper,--,--,
Bobby Cooper,"6' 1""",--,
Amanda Cooper,"5' 3""","64.0""",Switch
Kit Cope,"6' 0""",--,Orthodox
Chris Cope,"6' 0""","72.0""",Orthodox
Josh Copeland,"6' 1""",--,Orthodox
Michael Cora,"6' 1""","77.0""",Southpaw
Akira Corassani,"5' 8""","68.0""",Orthodox
Muhsin Corbbrey,"5' 10""",--,Orthodox
Daniel Cormier,"5' 11""","72.0""",Orthodox
Clint Coronel,--,--,
Henry Corrales,"5' 9""",--,
Bethe Correia,"5' 5""","64.0""",Orthodox
Wesley Correira,"6' 3""",--,Orthodox
Waldo Cortes-Acosta,"6' 4""","78.0""",Orthodox
Tracy Cortez,"5' 5""","65.0""",Orthodox
Reyes Cortez,"5' 7""","68.0""",Orthodox
Chad Corvin,"6' 5""",--,
Louis Cosce,"5' 9""","71.0""",Orthodox
Orion Cosce,"5' 11""","71.0""",Switch
Miguel Cosio,"6' 4""",--,
Jadson Costa,"5' 7""",--,Orthodox
Guilherme Costa,--,--,
Paulo Costa,"6' 1""","72.0""",Orthodox
Randy Costa,"5' 9""","73.0""",Switch
Alessandro Costa,"5' 4""","67.0""",Orthodox
Melquizael Costa,"5' 10""","71.0""",Southpaw
Oscar Cota,"6' 0""","72.0""",Orthodox
Patrick Cote,"5' 11""","75.0""",Orthodox
JC Cottrell,"5' 9""",--,Orthodox
JR Coughran,"5' 6""",--,Orthodox
Rashad Coulter,"5' 11""","76.0""",Orthodox
Dave Courchaine,"5' 8""",--,
Randy Couture,"6' 1""","75.0""",Orthodox
Kim Couture,"5' 8""",--,Orthodox
Ryan Couture,"5' 10""","73.0""",Orthodox
Nikk Covert,"5' 8""",--,
Colby Covington,"5' 11""","72.0""",Orthodox
Hailey Cowan,"5' 8""","67.0""",Southpaw
Jeff Cox,"5' 10""",--,Orthodox
Nathan Coy,"5' 10""","69.0""",Southpaw
Andrew Craig,"6' 1""","76.0""",Orthodox
Paul Craig,"6' 3""","76.0""",Orthodox
Dan Cramer,"6' 2""",--,Orthodox
Alberto Crane,"5' 5""",--,Orthodox
Tim Credeur,"6' 3""","75.0""",Orthodox
Paul Creighton,"5' 6""",--,Southpaw
Alexander Crispim,--,--,
Alex Crispin,--,--,
Kevin Croom,"5' 11""","73.0""",Orthodox
Ken Cross,"6' 0""","72.0""",Southpaw
Jeff Crotty,--,--,
Allen Crowder,"6' 3""","76.0""",Orthodox
Daron Cruickshank,"5' 8""","72.0""",Switch
Richard Crunkilton,"5' 7""",--,Orthodox
Jimmy Crute,"6' 2""","74.0""",Orthodox
Marcio Cruz,"6' 4""",--,Orthodox
Dominick Cruz,"5' 8""","68.0""",Orthodox
Aalon Cruz,"6' 0""","78.0""",Switch
Jay Cucciniello,"5' 7""",--,Orthodox
Emilio Cuellar,--,--,
Josh Culibao,"5' 10""","73.0""",Orthodox
Chris Culley,--,--,
Abel Cullum,"5' 7""",--,Orthodox
Zak Cummings,"6' 0""","75.0""",Southpaw
Everett Cummings,--,--,
Patrick Cummins,"6' 2""","76.0""",Orthodox
Luke Cummo,"6' 0""","74.0""",Orthodox
Hugo Cunha,"6' 4""",--,
Alton Cunningham,"6' 2""","77.0""",Orthodox
Santo Curatolo,"5' 3""","62.0""",Southpaw
Larry Cureton,"6' 2""",--,Orthodox
Jeff Curran,"5' 6""","69.0""",Orthodox
Kailin Curran,"5' 4""","65.0""",Orthodox
Pat Curran,"5' 9""",--,
Chris Curtis,"5' 10""","75.0""",Orthodox
Ion Cutelaba,"6' 1""","75.0""",Southpaw
Gleidson Cutis,"5' 9""",--,Orthodox
Sarah D'alelio,"5' 7""",--,
Marcos da Matta,"5' 4""",--,
Henrique da Silva,"6' 3""","76.0""",Orthodox
Alex Da Silva,"5' 8""","73.0""",Orthodox
Henrique Da Silva Lopes,"6' 3""",--,
Nicolas Dalby,"5' 11""","74.0""",Orthodox
Paul Daley,"5' 9""","76.0""",Orthodox
Dave Dalgliesh,"6' 2""",--,Orthodox
Richard Dalton,"6' 1""",--,Orthodox
Aisling Daly,"5' 2""","64.0""",Orthodox
Marko Damiani,"6' 0""",--,
Leonardo Damiani,"5' 10""","69.0""",Orthodox
Rodrigo Damm,"5' 7""","71.0""",Orthodox
Carina Damm,"5' 4""",--,
Batgerel Danaa,"5' 7""","70.0""",Orthodox
Cindy Dandois,"5' 7""",--,Orthodox
Jarjis Danho,"6' 3""","74.0""",Orthodox
Raymond Daniels,"6' 2""",--,Southpaw
Marques Daniels,--,--,
Alexandre Dantas,"6' 2""",--,Orthodox
Eduardo Dantas,"5' 10""",--,
Mac Danzig,"5' 8""","70.0""",Orthodox
Karen Darabedyan,"5' 7""","68.0""",Orthodox
Beniel Dariush,"5' 10""","72.0""",Southpaw
Sean Daugherty,"6' 0""",--,
Kyle Daukaus,"6' 3""","76.0""",Southpaw
Chris Daukaus,"6' 3""","76.0""",Orthodox
Brian Davidson,"5' 6""",--,
Rick Davis,"5' 9""",--,Orthodox
Marcus Davis,"5' 10""","70.0""",Southpaw
LC Davis,"5' 8""","69.0""",Southpaw
Phil Davis,"6' 2""","79.0""",Orthodox
Lemont Davis,"5' 8""",--,Orthodox
Mike Davis,--,--,
Justin Davis,"5' 11""",--,
Alexis Davis,"5' 6""","68.0""",Orthodox
Danny Davis,"6' 2""",--,
Brandon Davis,"5' 10""","72.0""",Orthodox
Mike Davis,"6' 0""","72.0""",Orthodox
Hakeem Dawodu,"5' 8""","73.0""",Orthodox
Grant Dawson,"5' 10""","72.0""",Switch
Jason Day,"6' 0""","72.0""",Orthodox
Martin Day,"5' 10""","73.0""",Orthodox
Angel De Anda,"5' 9""",--,Orthodox
Yorgan De Castro,"6' 0""","74.0""",Orthodox
Geraldo de Freitas,"5' 7""","72.0""",Orthodox
Philip De Fries,"6' 5""","79.0""",Orthodox
Chris de la Rocha,"6' 3""","80.0""",Orthodox
Montana De La Rosa,"5' 7""","68.0""",Orthodox
Mark De La Rosa,"5' 6""","65.0""",Orthodox
Mike de la Torre,"5' 11""","71.0""",Orthodox
Marcos de Lima,"5' 7""",--,Orthodox
Edilberto de Oliveira,"6' 0""",--,Orthodox
Johil de Oliveira,"5' 6""",--,Orthodox
Jorge de Oliveira,"5' 8""",--,Orthodox
Isabela de Padua,"5' 3""","64.0""",Orthodox
Gloria de Paula,"5' 5""","67.0""",Orthodox
Germaine de Randamie,"5' 9""","71.0""",Orthodox
Crezio de Souza,--,--,Orthodox
Carl Deaton,"5' 7""","69.0""",Orthodox
Tom DeBlass,"6' 0""",--,Orthodox
Issac DeJesus,--,--,
Rafael Del Real,"5' 11""",--,
Shane del Rosario,"6' 4""",--,Southpaw
Wallen Del Rosario,"5' 4""","67.0""",Orthodox
Humberto DeLeon,--,--,
Rolando Delgado,"6' 3""","77.0""",Orthodox
Israel Delgado,"5' 10""",--,
Ante Delija,"6' 4""",--,Orthodox
Jack Maddalena,"5' 11""","73.0""",Switch
Roland Delorme,"5' 9""","71.0""",Orthodox
Jon Delos Reyes,"5' 6""","67.0""",Orthodox
Jason DeLucia,"5' 11""",--,Southpaw
Justin DeMoney,--,--,
Vanessa Demopoulos,"5' 2""","59.0""",Orthodox
Chris Dempsey,"5' 10""","72.0""",Orthodox
Nick Denis,"5' 7""",--,Orthodox
Thomas Denny,"5' 10""",--,Orthodox
Robert Densley,"5' 9""",--,
Jason Dent,"5' 10""","71.0""",Orthodox
Mackenzie Dern,"5' 4""","63.0""",Orthodox
Booker DeRousse,"6' 2""",--,
Tony DeSouza,"6' 0""","70.0""",Southpaw
Cory Devela,"5' 0""",--,Orthodox
John Devine,--,--,
Edwin DeWees,"6' 1""",--,Orthodox
Alessio Di Chirico,"6' 0""","74.0""",Orthodox
Micol Di Segni,"5' 3""","60.0""",Orthodox
Cyrille Diabate,"6' 6""","81.0""",Southpaw
Thomas Diagne,"6' 1""",--,
Marc Diakiese,"5' 10""","73.0""",Orthodox
Tyler Diamond,"5' 7""","69.0""",Orthodox
Blood Diamond,"5' 11""","76.0""",Switch
Eldo Xavier Dias,"5' 11""",--,
Rafael Dias,"5' 9""",--,Orthodox
Hacran Dias,"5' 8""","69.0""",Orthodox
Nick Diaz,"6' 1""","76.0""",Southpaw
Nate Diaz,"6' 0""","76.0""",Southpaw
Michael Diaz,--,--,
Ryan Diaz,--,--,
Adrian Diaz,"5' 10""",--,Southpaw
Ozzy Diaz,"6' 4""","79.0""",Orthodox
Mark Dickman,"5' 9""",--,
Josh Diekmann,"5' 4""",--,
Kyle Dietz,"5' 8""",--,Orthodox
Seth Dikun,"5' 10""","69.0""",Orthodox
TJ Dillashaw,"5' 6""","67.0""",Orthodox
Ralph Dillon,"6' 2""",--,Orthodox
Drew Dimanlig,--,--,
Rodolfo Marques Diniz,"5' 6""",--,
Helio Dipp,"6' 5""",--,Orthodox
Rico DiSciullo,"5' 8""",--,Orthodox
Matt Dixon,"5' 10""","75.0""",Switch
John Dixson,"6' 0""",--,Orthodox
Anthony Do,"5' 4""",--,
Russell Doane,"5' 7""","70.0""",Orthodox
Drew Dober,"5' 8""","70.0""",Southpaw
Shana Dobson,"5' 6""","69.0""",Orthodox
AJ Dobson,"6' 1""","76.0""",Orthodox
David Dodd,"6' 2""",--,Orthodox
John Dodson,"5' 3""","66.0""",Orthodox
Joe Doerksen,"6' 0""","75.0""",Orthodox
Mike Dolce,"5' 11""",--,
Roman Dolidze,"6' 2""","76.0""",Orthodox
Cameron Dollar,"5' 11""",--,Orthodox
CB Dollaway,"6' 2""","76.0""",Orthodox
Dennis Dombrow,--,--,
OJ Dominguez,--,--,
John Donaldson,"5' 8""",--,
Cody Donovan,"6' 3""","74.0""",Orthodox
Houston Dorr,"6' 1""",--,Orthodox
Rafael Dos Anjos,"5' 8""","70.0""",Southpaw
Junior Dos Santos,"6' 4""","77.0""",Orthodox
Geronimo dos Santos,"6' 3""",--,Orthodox
Antonio Dos Santos,"5' 10""",--,Orthodox
Anderson Dos Santos,"5' 5""","70.0""",Orthodox
Acacio Dos Santos,"6' 4""","79.0""",Orthodox
Tiago dos Santos e Silva,"5' 9""","70.0""",Orthodox
Oleksandr Doskalchuk,"5' 6""",--,Southpaw
David Douglas,"5' 11""",--,
Damion Douglas,--,--,
Cedric Doumbe,"5' 10""",--,
John Dowdy,--,--,
Jordan Dowdy,--,--,
Danny Downes,"6' 0""","72.0""",Orthodox
Derek Downey,"6' 1""",--,Orthodox
John Doyle,"5' 11""",--,Orthodox
Edson Drago,"6' 4""",--,Orthodox
Kyle Driscoll,"5' 11""","74.0""",Orthodox
Chris Drumm,"5' 8""",--,
Tomasz Drwal,"6' 1""","76.0""",Orthodox
Robert Drysdale,"6' 3""",--,Orthodox
Dricus Du Plessis,"6' 1""","76.0""",Switch
Hugo Duarte,"6' 0""",--,Orthodox
Antonio Duarte,"5' 7""",--,
Joe Duarte,--,--,
Emily Ducote,"5' 2""","63.0""",Orthodox
Viktoriia Dudakova,"5' 5""","67.0""",Orthodox
Milana Dudieva,"5' 3""",--,Orthodox
Adin Duenas,"5' 6""",--,
Todd Duffee,"6' 3""","78.0""",Orthodox
Joe Duffy,"5' 10""","73.0""",Orthodox
Alexis Dufresne,"5' 9""",--,Orthodox
Jessamyn Duke,"5' 11""","73.0""",Orthodox
Isaac Dulgarian,"5' 7""",--,Orthodox
Kelly Dullanty,"5' 8""",--,Orthodox
Sedriques Dumas,"6' 2""","79.0""",Orthodox
Norma Dumont,"5' 7""","67.0""",Orthodox
Chris Duncan,"5' 10""","71.0""",Orthodox
Christian Duncan,"6' 2""","79.0""",Switch
Evan Dunham,"5' 10""","70.0""",Southpaw
Alex Dunworth,"5' 8""",--,
Tom Duquesnoy,"5' 7""","68.0""",Orthodox
Albert Duraev,"5' 11""","75.0""",Orthodox
Reuben Duran,"5' 7""","71.0""",Orthodox
Cody Durden,"5' 7""","67.0""",Southpaw
Luiz Dutra,"5' 11""",--,Orthodox
Rilley Dutro,"5' 8""",--,Orthodox
Bill Duvall,"6' 2""",--,Southpaw
Merab Dvalishvili,"5' 6""","68.0""",Orthodox
David Dvorak,"5' 5""","68.0""",Orthodox
Matt Dwyer,"6' 4""","76.0""",Orthodox
Rolando Dy,"5' 8""","69.0""",Orthodox
Ben Earwood,"5' 8""",--,Orthodox
Cody East,"6' 3""",--,Orthodox
Marvin Eastman,"5' 9""","73.0""",Orthodox
Mike Easton,"5' 6""","70.0""",Southpaw
Maurice Eazel,"5' 7""",--,
Vincent Eazelle,"5' 11""",--,
Ross Ebanez,"5' 9""",--,Southpaw
Brian Ebersole,"6' 0""","73.0""",Southpaw
Roybert Echeverria,"5' 5""","67.0""",Switch
Mark Eddiva,"5' 8""","68.0""",Orthodox
Frankie Edgar,"5' 6""","68.0""",Orthodox
Abdul-Kerim Edilov,"6' 2""",--,Orthodox
Johnny Eduardo,"5' 7""","71.0""",Orthodox
Yves Edwards,"5' 9""","73.0""",Southpaw
Justin Edwards,"5' 10""","70.0""",Orthodox
Leon Edwards,"6' 2""","74.0""",Southpaw
Te Edwards,"5' 8""","72.0""",Orthodox
Adli Edwards,--,--,
Joselyne Edwards,"5' 8""","70.0""",Orthodox
Tom Egan,"5' 11""",--,Orthodox
Stephanie Egger,"5' 6""","68.0""",Orthodox
Justin Eilers,"6' 1""",--,Orthodox
Jon Olav Einemo,"6' 6""",--,Orthodox
Per Eklund,"5' 10""","72.0""",Orthodox
John Elam,--,--,
Evan Elder,"5' 10""","72.0""",Switch
John Paul Elias,"6' 4""",--,
Joao Elias,"5' 3""","64.0""",Southpaw
Saul Elizondo,"5' 7""",--,
Darren Elkins,"5' 10""","71.0""",Orthodox
Jake Ellenberger,"5' 9""","71.0""",Orthodox
Joe Ellenberger,"5' 9""","72.0""",Orthodox
Tim Elliott,"5' 7""","66.0""",Southpaw
Eddy Ellis,"5' 9""",--,Orthodox
Lisa Ellis,"5' 4""",--,
Anna Elmose,"5' 3""",--,Orthodox
Cameron Else,"5' 9""","71.0""",Switch
Aaron Ely,"5' 8""",--,
Sovannahry Em,"5' 4""",--,
Ramazan Emeev,"5' 10""","76.0""",Southpaw
Aleksander Emelianenko,"6' 6""",--,Orthodox
Fedor Emelianenko,"6' 0""","74.0""",Orthodox
Rob Emerson,"5' 9""","70.0""",Orthodox
Jamall Emmers,"5' 10""","74.0""",Orthodox
Josh Emmett,"5' 6""","70.0""",Orthodox
Marius Enache,"5' 11""",--,
Kevin Engel,"6' 2""",--,
Kolton Englund,"5' 10""","69.0""",Orthodox
Oliver Enkamp,"6' 0""","77.0""",Switch
Alex Enlund,"5' 10""",--,Orthodox
Kenny Ento,"6' 2""",--,
Ian Entwistle,"5' 5""",--,Orthodox
Andy Enz,"6' 3""","78.0""",Orthodox
Won Jin Eoh,"5' 7""",--,Orthodox
Josh Epps,--,--,
Stephen Erczeg,--,--,
Tom Erikson,"6' 3""",--,Orthodox
Konstantin Erokhin,"5' 11""",--,Orthodox
Julian Erosa,"6' 1""","74.0""",Southpaw
Jarno Errens,"5' 11""","73.0""",Orthodox
Nick Ertl,"5' 9""",--,
Chel Erwin-Davis,"6' 0""",--,
Bobby Escalante,--,--,
Eric Esch,"5' 11""",--,Orthodox
Pro Escobedo,--,--,
Cole Escovedo,"5' 7""","72.0""",Orthodox
Efrain Escudero,"5' 9""","71.0""",Orthodox
Evan Esguerra,--,--,
Carla Esparza,"5' 1""","63.0""",Orthodox
Juan Espino,"6' 3""","80.0""",
Jordan Espinosa,"5' 6""","69.0""",Orthodox
Jodie Esquibel,"5' 1""","64.0""",Orthodox
Rafael Estevam,"5' 8""","69.0""",Orthodox
Achilles Estremadura,"5' 10""","68.0""",Orthodox
Shaun Etchell,"5' 7""","68.0""",Switch
Terry Etim,"6' 1""","73.0""",Orthodox
Fred Ettish,"6' 0""",--,Southpaw
Scott Ettling,--,--,
Sijara Eubanks,"5' 4""","67.0""",Orthodox
Billy Evangelista,"5' 8""","68.0""",Orthodox
Rashad Evans,"6' 0""","75.0""",Orthodox
Doug Evans,"5' 9""",--,Orthodox
Ashlee Evans-Smith,"5' 8""","67.0""",Orthodox
Dan Evensen,"6' 3""",--,Orthodox
Tonya Evinger,"5' 7""","70.0""",Orthodox
Movsar Evloev,"5' 7""","72.0""",Orthodox
Andre Ewell,"5' 8""","75.0""",Southpaw
Neal Ewing,--,--,
Jessica Eye,"5' 6""","66.0""",Orthodox
Edward Faaloloto,--,"70.0""",
Urijah Faber,"5' 6""","67.0""",Orthodox
Melinda Fabian,"5' 6""","66.0""",
Wagnney Fabiano,"5' 6""","69.0""",Southpaw
Bartosz Fabinski,"6' 0""","75.0""",Orthodox
Ron Faircloth,"5' 9""",--,Orthodox
Jason Fairn,"6' 1""",--,
Zarah Fairn,"5' 8""","72.0""",Orthodox
Rinat Fakhretdinov,"6' 0""","74.0""",Orthodox
Maiquel Falcao,"5' 11""",--,Orthodox
Pedro Falcao,"5' 6""","66.0""",Orthodox
Brodie Farber,"6' 1""",--,Orthodox
Joao Paulo Faria,"5' 9""",--,
Kalindra Faria,"5' 7""",--,Switch
Chance Farrar,"5' 9""",--,Southpaw
Rico Farrington,"6' 4""","79.0""",Southpaw
Kelly Faszholz,"5' 8""",--,Orthodox
Rodney Faverus,"6' 0""",--,Southpaw
Paul Felder,"5' 11""","70.0""",Orthodox
Carlos Felipe,"6' 0""","75.0""",Orthodox
JP Felty,--,--,
Kevin Ferguson,"6' 2""","77.0""",Orthodox
Rhadi Ferguson,"5' 7""",--,
Tony Ferguson,"5' 11""","76.0""",Orthodox
Josh Ferguson,"5' 5""",--,Orthodox
CJ Fernandes,"6' 2""",--,
Bibiano Fernandes,"5' 7""",--,Orthodox
Gabriella Fernandes,"5' 6""","66.0""",Southpaw
Alexandre Ferreira,"5' 7""",--,Orthodox
Cezar Ferreira,"6' 1""","78.0""",Southpaw
Diego Ferreira,"5' 9""","74.0""",Orthodox
Erisson Ferreira,"5' 6""","70.0""",Orthodox
Brunno Ferreira,"5' 10""","72.0""",Orthodox
Scott Ferrozzo,"5' 11""",--,Orthodox
Timo Feucht,"6' 3""","79.0""",Orthodox
Andre Fialho,"6' 0""","74.0""",Orthodox
Drew Fickett,"5' 10""","70.0""",Orthodox
Scott Fiedler,"6' 4""",--,Orthodox
Ron Fields,"6' 2""",--,Orthodox
Michal Figlak,"5' 10""","70.0""",Orthodox
Deiveson Figueiredo,"5' 5""","68.0""",Orthodox
Francisco Figueiredo,"5' 6""","68.0""",Southpaw
Anthony Figueroa,"5' 4""",--,Orthodox
Edwin Figueroa,"5' 7""","69.0""",Orthodox
Paulo Filho,"5' 8""",--,Southpaw
Jafel Filho,"5' 7""","68.0""",Orthodox
Andre Fili,"5' 11""","74.0""",Orthodox
Mirko Filipovic,"6' 2""","73.0""",Southpaw
Brady Fink,"6' 0""",--,Orthodox
Jesse Finney,"6' 0""",--,
Jan Finney,"5' 8""",--,Orthodox
Luigi Fioravanti,"5' 8""","70.0""",Orthodox
Nick Fiore,"5' 10""","72.0""",Orthodox
Manon Fiorot,"5' 7""","65.0""",Orthodox
Luiz Firmino,"5' 6""",--,Orthodox
Spencer Fisher,"5' 7""","68.0""",Southpaw
Chris Fishgold,"5' 8""","68.0""",Orthodox
Bryanna Fissori,"5' 4""",--,
Jon Fitch,"6' 0""","74.0""",Orthodox
Isi Fitikefu,"5' 10""",--,
Rafael Fiziev,"5' 8""","71.0""",Switch
Colin Fletcher,"6' 2""",--,Orthodox
AJ Fletcher,"5' 10""","67.0""",Switch
Jimmy Flick,"5' 7""","68.0""",Orthodox
Luke Flores,"6' 0""","73.0""",Southpaw
Ty Flores,"6' 3""","73.0""",Switch
Alejandro Flores,"5' 10""","73.0""",Orthodox
Kenny Florian,"5' 10""","74.0""",Southpaw
Darrius Flowers,"5' 9""","71.0""",Orthodox
Cody Floyd,--,--,
Bobby Flynn,--,--,
Caros Fodor,"5' 9""","74.0""",Orthodox
Mal Foki,"5' 7""",--,Orthodox
Matt Foki,"5' 7""",--,Orthodox
AJ Fonseca,"5' 4""",--,
Rob Font,"5' 8""","71.0""",Orthodox
Claudionor Fontinelle,"5' 5""",--,Orthodox
Jesse Forbes,"6' 2""","75.0""",Southpaw
Sterling Ford,"5' 10""",--,
Codale Ford,"5' 9""",--,
Jussier Formiga,"5' 5""","67.0""",Orthodox
Renee Forte,"5' 7""","71.0""",Orthodox
Brianna Fortino,"5' 0""","62.0""",Southpaw
Marcel Fortuna,"6' 1""","74.0""",Orthodox
Brian Foster,"5' 9""","71.0""",Orthodox
Xavier Foupa-Pokam,"6' 1""",--,Open Stance
Mason Fowler,"5' 11""",--,
Brandon Foxworth,"5' 11""",--,Orthodox
Hermes Franca,"5' 6""","71.0""",Orthodox
Glaico Franca Moreira,"6' 0""","77.0""",Orthodox
Francisco France,"6' 0""",--,
John Franchi,"5' 6""","67.0""",Orthodox
Rich Franklin,"6' 1""","76.0""",Southpaw
Zoila Frausto,"5' 4""",--,Orthodox
Stephanie Frausto,"5' 2""","61.0""",Orthodox
Zane Frazier,"6' 5""",--,Orthodox
Gary Frazier,"6' 0""",--,Orthodox
Justin Frazier,"6' 0""","75.0""",Southpaw
Ian Freeman,"5' 11""",--,Orthodox
Jason Freeman,"6' 2""",--,
Willamy Freire,"5' 8""",--,
Patricio Freire,"5' 5""","65.0""",
Patricky Freire,"5' 7""","71.0""",
Jeremy Freitag,"6' 1""",--,
Rafael Freitas,--,--,Orthodox
Donavon Frelow,"5' 7""",--,Orthodox
Josh Fremd,"6' 4""","76.0""",Orthodox
Clay French,"5' 7""",--,Southpaw
Mike French,"5' 10""",--,
Matt Frevola,"5' 9""","71.0""",Orthodox
Jinh Yu Frey,"5' 3""","65.0""",Southpaw
Artem Frolov,"5' 10""",--,
Sarah Frota,"5' 6""","69.0""",Southpaw
Don Frye,"6' 1""",--,Orthodox
Tony Fryklund,"6' 0""",--,Orthodox
Adam Fugitt,"6' 1""","77.0""",Southpaw
Jesse Fujarczyk,"6' 4""",--,Southpaw
Katsuhisa Fujii,"6' 0""",--,Orthodox
Megumi Fujii,"5' 3""",--,
Kazuyuki Fujita,"6' 0""",--,Orthodox
Keisuke Fujiwara,"5' 6""",--,Switch
Riki Fukuda,"6' 0""","73.0""",Southpaw
Masio Fullen,"5' 10""","70.0""",Orthodox
Travis Fulton,"6' 0""",--,Orthodox
Sam Fulton,--,--,
Masakatsu Funaki,"6' 0""",--,Southpaw
Ricardo Funch,"5' 10""","74.0""",Southpaw
Katsuaki Furuki,"6' 0""",--,
James Gabert,--,--,
Gustavo Gabriel,"5' 6""",--,Orthodox
Claudia Gadelha,"5' 4""","63.0""",Orthodox
Alavutdin Gadjiev,"6' 2""",--,Orthodox
Justin Gaethje,"5' 11""","70.0""",Orthodox
Sheila Gaff,"5' 5""",--,Orthodox
Muin Gafurov,"5' 7""","68.0""",Southpaw
Mitch Gagnon,"5' 5""","65.0""",Southpaw
Brandon Gaines,"6' 3""",--,
Travis Galbraith,"6' 0""",--,Orthodox
Dave Galera,"5' 11""",--,Orthodox
Zelg Galesic,"6' 2""",--,Orthodox
Mickey Gall,"6' 2""","74.0""",Switch
Daniel Gallemore,"6' 5""",--,
Tom Gallicchio,"5' 10""",--,Southpaw
