Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Josh Fremd,MW,"6' 4""","76.0""",Orthodox,2,1,1,6.304,2.783,2.957,0.000,0.000,0.307,652,0.130,0.348,0.130,0.522,1,0.666666667,1.609,0.826,0.348,2.043,0.435,0.478,,,,,,1,0,0,0,0,1
Victor Henry,BW,"5' 7""","68.0""",Switch,3,2,1,18.044,8.667,5.978,0.000,0.000,0.067,486,0.000,0.133,0.044,0.644,0,0.206896552,4.822,3.133,0.711,4.244,0.844,0.889,,,,,,1,2,0,0,0,0
Tony Gravely,BW,"5' 5""","69.0""",Orthodox,6,3,3,10.332,3.912,5.350,0.050,0.017,0.395,330,0.351,0.050,0.953,0.117,0.368421053,0.428571429,2.508,0.652,0.752,3.344,1.622,0.385,,,,,,2,1,2,1,0,0
Tyson Nam,FLW,"5' 7""","68.0""",Orthodox,3,1,2,10.506,3.406,5.048,0.041,0.041,0.002,53,0.000,0.000,0.000,0.041,No TD Att,0,2.011,0.657,0.739,3.694,0.903,0.451,,,,,,1,0,1,0,1,0
Bruno Silva,FLW,"5' 4""","65.0""",Orthodox,7,5,2,9.837,3.985,4.234,0.125,0.021,0.204,466,0.062,0.021,0.270,0.353,0.230769231,0.058823529,2.885,0.519,0.581,2.304,1.411,0.519,,,,,,1,0,4,0,1,1
Bruno Silva,FLW,"6' 0""","74.0""",Orthodox,7,5,2,9.837,3.985,4.234,0.125,0.021,0.204,466,0.062,0.021,0.270,0.353,0.230769231,0.058823529,2.885,0.519,0.581,2.304,1.411,0.519,,,,,,1,0,4,0,1,1
Carlston Harris,WW,"6' 0""","76.0""",Orthodox,4,3,1,11.878,4.135,2.878,0.041,0.041,0.470,86,0.203,0.041,0.649,0.162,0.3125,0.25,3.000,0.932,0.203,1.541,1.014,0.324,,,,,,,1,1,1,0,1
Jared Gooden,WW,"6' 0""","77.0""",Orthodox,4,2,2,11.228,4.097,5.311,0.022,0.000,0.024,842,0.022,0.130,0.022,0.390,1,0.333333333,1.777,1.301,1.019,3.945,0.997,0.368,,,,,,2,1,1,0,0,0
Jon Jones,HW,"6' 4""","84.0""",Orthodox,1,1,0,6.774,2.419,2.903,0.000,0.000,0.460,0,0.968,0.000,0.968,0.000,1,No TD Att,0.968,0.000,1.452,0.484,0.968,1.452,,,,,,,0,0,0,0,1
Ciryl Gane,HW,"6' 4""","81.0""",Orthodox,6,4,2,8.340,4.866,2.367,0.009,0.009,0.085,578,0.028,0.057,0.218,0.076,0.130434783,0.75,2.111,1.193,1.562,0.861,0.511,0.994,,,,,,1,2,2,0,1,0
Geoff Neal,WW,"5' 11""","75.0""",Southpaw,4,2,2,13.201,6.843,7.859,0.044,0.000,0.130,349,0.044,0.066,0.110,0.397,0.4,0.166666667,6.159,0.419,0.265,4.879,2.097,0.883,,,,,,1,1,1,0,1,0
Shavkat Rakhmonov,WW,"6' 1""","77.0""",Orthodox,4,4,0,8.543,4.665,2.698,0.028,0.000,0.481,181,0.112,0.000,0.281,0.084,0.4,0,3.119,1.405,0.141,2.052,0.337,0.309,,,,,,,0,1,0,0,3
Mateusz Gamrot,LW,"5' 10""","70.0""",Southpaw,6,5,1,6.969,2.934,3.386,0.014,0.028,0.235,157,0.296,0.014,0.931,0.141,0.318181818,0.1,1.989,0.466,0.480,1.749,1.157,0.480,,,,,,1,2,2,0,0,1
Jalin Turner,LW,"6' 3""","77.0""",Southpaw,4,3,1,11.906,4.700,2.820,0.039,0.000,0.125,503,0.078,0.196,0.117,0.627,0.666666667,0.3125,2.898,1.567,0.235,1.645,0.352,0.822,,,,,,1,0,1,0,0,2
Bo Nickal,MW,"6' 1""","76.0""",Southpaw,1,1,0,2.069,0.345,0.345,0.000,0.000,0.862,0,0.345,0.000,1.379,0.000,0.25,No TD Att,0.000,0.345,0.000,0.000,0.345,0.000,,,,,,,0,0,0,0,1
Jamie Pickett,MW,"6' 2""","80.0""",Orthodox,6,2,4,7.456,3.421,3.728,0.000,0.061,0.137,993,0.082,0.102,0.246,0.451,0.333333333,0.227272727,1.905,1.229,0.287,2.499,0.942,0.287,,,,,,,2,0,2,2,0
Cody Garbrandt,BW,"5' 8""","65.0""",Orthodox,3,1,2,4.983,2.261,5.052,0.000,0.046,0.131,178,0.115,0.069,0.323,0.115,0.357142857,0.6,1.315,0.507,0.438,3.968,0.738,0.346,,,,,,1,1,0,1,0,0
Trevin Jones,BW,"5' 7""","70.0""",Southpaw,5,1,4,7.244,1.956,3.744,0.015,0.015,0.185,655,0.031,0.092,0.275,0.229,0.111111111,0.4,0.978,0.504,0.474,2.185,1.070,0.489,,,,,,3,0,1,0,1,0
Derek Brunson,MW,"6' 1""","77.0""",Southpaw,4,2,2,11.661,2.893,3.317,0.018,0.018,0.519,201,0.229,0.053,0.582,0.071,0.393939394,0.75,2.064,0.529,0.300,2.452,0.459,0.406,,,,,,,1,0,2,0,1
Dricus Du Plessis,MW,"6' 1""","76.0""",Switch,4,4,0,13.519,6.647,3.695,0.045,0.000,0.222,306,0.203,0.045,0.428,0.090,0.473684211,0.5,4.732,0.811,1.104,2.569,0.879,0.248,,,,,,,1,2,0,0,1
Julian Marquez,MW,"6' 2""","72.0""",Orthodox,4,2,2,13.097,5.811,6.460,0.029,0.088,0.064,693,0.000,0.147,0.059,0.324,0,0.454545455,4.543,0.826,0.442,5.133,1.091,0.236,,,,,,,0,0,2,0,2
Marc-Andre Barriault,MW,"6' 1""","74.0""",Orthodox,6,4,2,17.983,7.572,6.254,0.019,0.019,0.157,776,0.000,0.223,0.019,0.501,0,0.444444444,6.032,1.151,0.390,3.897,1.336,0.650,,,,,,,1,2,1,1,1
Ian Garry,WW,"6' 3""","74.0""",Orthodox,4,4,0,12.563,6.788,4.195,0.061,0.020,0.043,400,0.020,0.081,0.041,0.223,0.5,0.363636364,4.113,1.418,1.256,1.662,0.871,1.662,,,,,,,2,2,0,0,0
Song Kenan,WW,"6' 0""","71.0""",Orthodox,2,0,2,8.623,4.132,8.623,0.060,0.120,0.044,33,0.120,0.000,0.180,0.060,0.666666667,0,1.377,0.778,1.976,4.132,2.275,2.216,,,,,,,0,0,2,0,0
Mana Martinez,BW,"5' 10""","70.0""",Orthodox,4,2,2,10.783,4.417,5.083,0.067,0.067,0.033,855,0.050,0.133,0.117,0.183,0.428571429,0.727272727,2.400,1.317,0.700,2.667,0.967,1.450,,,,,,2,2,0,0,0,0
Cameron Saaiman,BW,"5' 8""","67.0""",Southpaw,2,2,0,14.410,5.819,2.430,0.034,0.000,0.363,280,0.034,0.171,0.034,0.308,1,0.555555556,3.560,1.095,1.164,1.643,0.548,0.240,,,,,,,1,1,0,0,0
Damon Blackshear,BW,"5' 10""","72.0""",Switch,2,0,2,8.500,2.433,4.033,0.000,0.000,0.216,620,0.067,0.133,0.367,0.233,0.181818182,0.571428571,1.100,0.600,0.733,2.633,0.900,0.500,,,,,,1,0,0,0,0,0
Farid Basharat,BW,"5' 8""","71.0""",Orthodox,1,1,0,7.667,3.867,3.067,0.000,0.000,0.364,158,0.200,0.067,0.400,0.400,0.5,0.166666667,2.400,0.933,0.533,1.533,0.800,0.733,,,,,,,1,0,0,0,0
Esteban Ribovics ,LW,,,,1,0,1,10.800,4.400,2.667,0.067,0.000,0.034,459,0.000,0.733,0.067,1.400,0,0.523809524,3.467,0.733,0.200,2.200,0.400,0.067,,,,,,1,0,0,0,0,0
Loik Radzhabov,LW,"5' 11""","69.0""",Orthodox,1,1,0,7.800,2.667,4.400,0.000,0.067,0.510,31,0.733,0.000,1.400,0.067,0.523809524,0,2.200,0.400,0.067,3.467,0.733,0.200,,,,,,,1,0,0,0,0
Andre Muniz,MW,"6' 1""","78.0""",Southpaw,4,3,1,9.422,2.048,1.693,0.000,0.000,0.380,323,0.218,0.055,0.574,0.109,0.380952381,0.5,1.229,0.355,0.464,0.874,0.519,0.300,,,,,,,1,0,0,1,2
Brendan Allen,MW,"6' 2""","75.0""",Orthodox,7,6,1,9.240,4.015,3.483,0.015,0.015,0.211,608,0.089,0.103,0.162,0.251,0.545454545,0.411764706,2.214,1.137,0.664,2.450,0.738,0.295,,,,,,,2,0,1,0,4
Augusto Sakai,HW,"6' 3""","77.0""",Orthodox,4,1,3,7.767,2.491,3.283,0.000,0.059,0.287,683,0.029,0.176,0.088,0.293,0.333333333,0.6,0.997,1.085,0.410,2.345,0.674,0.264,,,,,,,1,0,3,0,0
Don'Tale Mayes,HW,"6' 6""","81.0""",Orthodox,3,1,2,9.002,2.325,2.786,0.000,0.023,0.329,948,0.138,0.092,0.207,0.184,0.666666667,0.5,1.335,0.691,0.299,1.957,0.553,0.276,,,,,,1,0,1,0,0,0
Mike Malott,WW,"6' 1""","73.0""",Orthodox,2,2,0,9.202,4.664,1.765,0.126,0.000,0.212,17,0.126,0.126,0.126,0.252,1,0.5,3.025,1.134,0.504,1.765,0.000,0.000,,,,,,,0,1,0,0,1
Yohan Lainesse,WW,"6' 1""","76.0""",Orthodox,3,1,2,5.374,2.298,3.571,0.035,0.000,0.067,246,0.071,0.071,0.247,0.354,0.285714286,0.2,0.919,0.566,0.813,1.520,0.955,1.096,,,,,,,1,0,1,1,0
Erick Gonzalez,LW,"5' 11""","75.0""",Orthodox,2,0,2,7.294,2.202,9.495,0.000,0.275,0.310,68,0.550,0.138,0.963,0.275,0.571428571,0.5,1.514,0.275,0.413,7.294,1.514,0.688,,,,,,,0,0,1,1,0
Trevor Peek,LW,"5' 9""","70.0""",Switch,1,1,0,17.258,10.234,1.405,0.401,0.000,0.054,135,0.000,0.803,0.201,1.204,0,0.666666667,7.625,1.605,1.003,1.003,0.201,0.201,,,,,,,0,1,0,0,0
Jordan Leavitt,LW,"5' 9""","71.0""",Southpaw,5,3,2,10.698,2.791,2.072,0.021,0.000,0.334,901,0.127,0.148,0.571,0.211,0.222222222,0.7,0.571,0.677,1.543,0.761,0.951,0.359,,,,,,1,1,1,0,1,1
Victor Martinez,LW,"5' 8""","70.0""",Orthodox,1,0,1,12.653,2.857,6.939,0.000,0.408,0.000,46,0.000,0.000,0.000,0.816,No TD Att,0,1.633,0.000,1.224,3.265,2.449,1.224,,,,,,,0,0,1,0,0
Ode Osbourne,FW,"5' 7""","73.0""",Southpaw,6,4,2,11.872,4.391,4.953,0.051,0.051,0.087,207,0.102,0.026,0.434,0.128,0.235294118,0.2,2.706,0.970,0.715,2.272,1.736,0.945,,,,,,,2,2,2,0,0
Charles Johnson,FLW,"5' 9""","70.0""",Switch,4,2,2,10.999,4.460,3.754,0.000,0.000,0.088,964,0.020,0.343,0.141,0.868,0.142857143,0.395348837,2.321,1.352,0.787,1.231,1.009,1.514,,,,,,2,1,1,0,0,0
Joe Solecki ,LW,,,,4,3,1,8.358,1.675,1.785,0.000,0.018,0.531,725,0.146,0.018,0.328,0.036,0.444444444,0.5,1.384,0.127,0.164,1.093,0.455,0.237,,,,,,1,2,0,0,0,1
Carl Deaton,LW,"5' 7""","69.0""",Orthodox,1,0,1,2.924,0.101,0.202,0.000,0.000,0.000,531,0.000,0.202,0.000,0.303,No TD Att,0.666666667,0.101,0.000,0.000,0.101,0.000,0.101,,,,,,,0,0,0,1,0
Rafael Alves,LW,"5' 8""","68.0""",Orthodox,4,2,2,4.527,1.824,3.233,0.023,0.023,0.090,1118,0.023,0.115,0.092,0.185,0.25,0.625,1.132,0.393,0.300,2.009,0.855,0.370,,,,,,1,1,0,1,0,1
Nurullo Aliev,LW,"5' 10""","72.0""",Orthodox,1,0,1,9.333,1.267,0.400,0.000,0.000,0.723,78,0.200,0.000,0.267,0.000,0.75,No TD Att,1.267,0.000,0.000,0.133,0.133,0.133,,,,,,1,0,0,0,0,0
Jordan Wright ,MW,,,,2,0,2,15.795,2.330,4.091,0.000,0.000,0.099,523,0.114,0.000,0.284,0.341,0.4,0,0.966,0.966,0.398,2.386,1.307,0.398,,,,,,1,0,0,0,1,0
Zac Pauga ,LHW,,,,1,1,0,7.600,3.933,1.933,0.000,0.000,0.578,13,0.000,0.000,0.400,0.067,0,0,2.067,1.400,0.467,1.000,0.867,0.067,,,,,,,1,0,0,0,0
Josh Parisian,HW,"6' 4""","79.0""",Orthodox,4,2,2,9.942,3.262,3.320,0.000,0.019,0.176,1403,0.097,0.214,0.291,0.369,0.333333333,0.578947368,1.864,1.068,0.330,2.447,0.660,0.214,,,,,,1,1,1,1,0,0
Jamal Pogues,HW,"6' 3""","77.0""",Orthodox,1,1,0,5.267,2.200,2.467,0.000,0.000,0.388,72,0.333,0.067,0.733,0.133,0.454545455,0.5,1.933,0.200,0.067,1.267,0.933,0.267,,,,,,,1,0,0,0,0
William Knight,LHW,"5' 10""","73.0""",Orthodox,6,2,4,4.967,1.759,3.479,0.026,0.013,0.073,1602,0.065,0.129,0.259,0.207,0.25,0.625,0.802,0.336,0.621,1.306,0.660,1.513,,,,,,3,1,1,1,0,0
Marcin Prachnio,LHW,"6' 3""","74.0""",Orthodox,4,3,1,12.094,6.165,3.043,0.020,0.000,0.039,333,0.000,0.098,0.059,0.295,0,0.333333333,1.531,1.865,2.768,1.846,0.766,0.432,,,,,,1,2,1,0,0,0
Jim Miller,LW,"5' 8""","71.0""",Southpaw,4,2,2,9.264,3.448,3.885,0.023,0.000,0.100,670,0.023,0.023,0.046,0.115,0.5,0.2,1.816,0.690,0.943,2.368,1.126,0.391,,,,,,2,0,1,0,0,1
Alexander Hernandez,LW,"5' 9""","72.0""",Orthodox,5,3,2,14.063,5.570,5.210,0.021,0.000,0.097,223,0.042,0.085,0.212,0.254,0.2,0.333333333,3.050,1.567,0.953,3.346,0.932,0.932,,,,,,1,1,1,1,0,1
Nazim Sadykhov,LW,"5' 10""","69.0""",Southpaw,1,1,0,13.260,6.019,6.583,0.000,0.094,0.030,93,0.094,0.094,0.094,0.564,1,0.166666667,3.574,1.787,0.658,2.351,3.386,0.846,,,,,,,0,1,0,0,0
Evan Elder,WW,"5' 10""","72.0""",Switch,2,0,2,8.778,3.784,5.423,0.039,0.000,0.130,487,0.039,0.195,0.312,0.273,0.125,0.714285714,1.443,1.834,0.507,3.823,1.092,0.507,,,,,,1,0,0,1,0,0
Jamall Emmers,FW,"5' 10""","74.0""",Orthodox,2,1,1,11.076,4.265,1.836,0.000,0.000,0.330,58,0.059,0.000,0.178,0.415,0.333333333,0,1.777,1.422,1.066,0.948,0.415,0.474,,,,,,,1,0,0,1,0
Khusein Askhabov ,FW,,,,1,0,1,8.467,2.000,4.133,0.000,0.000,0.064,285,0.000,0.067,0.400,0.200,0,0.333333333,1.000,0.467,0.533,1.800,1.200,1.133,,,,,,1,0,0,0,0,0
Ovince Saint Preux,HW,"6' 3""","80.0""",Southpaw,3,1,2,6.043,3.086,4.500,0.000,0.086,0.062,18,0.043,0.000,0.257,0.000,0.166666667,No TD Att,0.857,1.800,0.429,1.929,0.943,1.629,,,,,,,1,0,2,0,0
Philipe Lins,LHW,"6' 2""","78.0""",Orthodox,2,2,0,11.760,5.184,4.742,0.063,0.000,0.348,113,0.253,0.000,0.695,0.063,0.363636364,0,3.351,1.328,0.506,0.822,2.782,1.138,,,,,,,1,1,0,0,0
AJ Fletcher,WW,"5' 10""","67.0""",Switch,3,1,2,9.832,3.496,4.779,0.000,0.000,0.264,741,0.109,0.137,0.273,0.191,0.4,0.714285714,2.758,0.300,0.437,3.332,0.983,0.464,,,,,,2,0,0,0,0,1
Themba Gorimbo,WW,"6' 1""","77.0""",Orthodox,1,0,1,3.929,0.907,1.058,0.000,0.000,0.302,201,0.302,0.000,0.302,0.000,1,No TD Att,0.302,0.453,0.151,0.907,0.000,0.151,,,,,,,0,0,0,1,0
Clayton Carpenter ,FLW,,,,1,1,0,1.554,0.933,0.311,0.000,0.000,0.409,82,0.000,0.311,0.000,0.311,No TD Att,1,0.622,0.311,0.000,0.000,0.000,0.311,,,,,,,0,0,0,0,1
Juancamilo Ronderos ,FLW,,,,2,0,2,16.133,2.175,2.175,0.000,0.000,0.248,102,0.181,0.000,0.544,0.000,0.333333333,No TD Att,0.906,0.363,0.906,1.088,0.906,0.181,,,,,,,0,0,0,2,0
Islam Makhachev,LW,"5' 10""","70.0""",Southpaw,6,6,0,10.272,3.069,2.143,0.017,0.017,0.584,433,0.240,0.017,0.429,0.120,0.56,0.142857143,1.938,0.995,0.137,0.995,0.806,0.343,,,,,,,1,1,0,0,4
Alexander Volkanovski,HW,"5' 6""","71.0""",Orthodox,5,3,2,12.769,6.359,3.931,0.017,0.000,0.100,546,0.035,0.052,0.104,0.181,0.333333333,0.285714286,4.130,0.760,1.469,2.160,1.071,0.700,,,,,,2,2,1,0,0,0
Yair Rodriguez,FW,"5' 11""","71.0""",Orthodox,3,2,1,15.636,6.338,7.117,0.000,0.000,0.035,734,0.026,0.130,0.130,0.364,0.2,0.357142857,3.429,1.091,1.818,4.260,1.896,0.961,,,,,,1,0,1,0,0,1
Josh Emmett,FW,"5' 6""","70.0""",Orthodox,3,2,1,11.578,3.832,5.313,0.020,0.000,0.078,21,0.020,0.020,0.162,0.081,0.125,0.25,2.859,0.750,0.223,4.137,0.852,0.324,,,,,,,2,0,0,1,0
Jack Maddalena,WW,"5' 11""","73.0""",Switch,4,4,0,19.760,9.701,4.311,0.449,0.000,0.079,40,0.000,0.090,0.000,0.269,No TD Att,0.333333333,7.275,1.976,0.449,2.335,0.898,1.078,,,,,,,0,3,0,0,1
Randy Brown,WW,"6' 3""","78.0""",Orthodox,5,4,1,13.007,5.894,4.336,0.040,0.040,0.046,629,0.000,0.020,0.120,0.080,0,0.25,3.896,1.059,0.939,1.499,1.079,1.758,,,,,,,3,0,0,1,1
Justin Tafa,HW,"6' 0""","74.0""",Southpaw,4,2,2,10.430,5.245,6.367,0.061,0.000,0.094,65,0.000,0.000,0.061,0.061,0,0,2.880,1.668,0.697,3.547,1.910,0.910,,,,,,2,0,2,0,0,0
Parker Porter,HW,"6' 0""","75.0""",Orthodox,4,2,2,12.891,5.577,5.549,0.000,0.028,0.249,293,0.084,0.028,0.448,0.056,0.1875,0.5,3.951,0.589,1.037,3.755,0.841,0.953,,,,,,,2,0,1,1,0
Jimmy Crute,LHW,"6' 2""","74.0""",Orthodox,3,0,3,8.269,2.644,4.135,0.000,0.144,0.426,238,0.433,0.000,0.769,0.000,0.5625,No TD Att,1.731,0.288,0.625,3.606,0.337,0.192,,,,,,,0,0,2,0,0
Alonzo Menifield,LHW,"6' 0""","76.0""",Orthodox,6,4,2,8.525,4.263,2.561,0.057,0.019,0.318,519,0.076,0.134,0.134,0.382,0.571428571,0.35,3.613,0.306,0.344,1.778,0.535,0.248,,,,,,1,1,2,0,0,1
Tyson Pedro,LHW,"6' 3""","79.0""",Orthodox,3,2,1,6.190,3.476,2.381,0.095,0.000,0.147,57,0.095,0.000,0.143,0.000,0.666666667,No TD Att,1.571,1.238,0.667,1.286,0.619,0.476,,,,,,1,0,2,0,0,0
Modestas Bukauskas,LHW,"6' 3""","78.0""",Switch,3,1,2,9.120,3.333,3.707,0.000,0.027,0.027,250,0.000,0.053,0.027,0.133,0,0.4,2.320,0.773,0.240,1.760,1.413,0.533,,,,,,1,1,0,1,0,0
Josh Culibao,FW,"5' 10""","73.0""",Orthodox,3,3,0,8.560,3.240,2.403,0.054,0.000,0.034,516,0.000,0.081,0.027,0.432,0,0.1875,2.079,0.297,0.864,1.296,0.459,0.648,,,,,,,2,0,0,0,1
Melsik Baghdasaryan,FW,"5' 9""","70.0""",Southpaw,3,2,1,8.730,5.023,3.014,0.035,0.000,0.047,77,0.000,0.035,0.000,0.173,No TD Att,0.2,2.079,1.559,1.386,1.524,0.866,0.624,,,,,,,1,1,0,1,0
Shannon Ross,FLW,"5' 6""","66.0""",Switch,1,0,1,4.068,1.017,14.237,0.000,1.017,0.000,0,0.000,0.000,0.000,0.000,No TD Att,No TD Att,0.000,0.000,1.017,8.136,3.051,3.051,,,,,,,0,0,1,0,0
Kleydson Rodrigues,FLW,"5' 5""","67.0""",Orthodox,2,1,1,11.262,5.944,4.505,0.063,0.000,0.202,260,0.125,0.000,0.438,0.000,0.285714286,No TD Att,2.941,2.190,0.813,2.628,1.126,0.751,,,,,,1,0,1,0,0,0
Jamie Mullarkey,LW,"6' 0""","74.0""",Orthodox,5,4,1,12.144,5.655,4.056,0.045,0.045,0.167,49,0.113,0.023,0.248,0.113,0.454545455,0.2,2.952,1.419,1.284,2.726,1.014,0.315,,,,,,,2,2,1,0,0
Francisco Prado,LW,"5' 10""","69.0""",Orthodox,1,0,1,5.200,1.867,3.933,0.000,0.000,0.011,287,0.000,0.200,0.133,0.267,0,0.75,1.200,0.267,0.400,1.867,0.867,1.200,,,,,,1,0,0,0,0,0
Jack Jenkins,FW,"5' 7""","68.0""",Switch,1,1,0,10.000,5.467,3.333,0.000,0.000,0.400,136,0.267,0.067,0.333,0.200,0.8,0.333333333,3.000,1.533,0.933,1.733,1.133,0.467,,,,,,,1,0,0,0,0
Don Shainis,FW,"5' 6""","67.0""",Orthodox,2,0,2,12.645,3.419,5.871,0.000,0.000,0.158,362,0.065,0.258,0.258,0.323,0.25,0.8,1.677,1.290,0.452,2.968,2.000,0.903,,,,,,1,0,0,0,1,0
Shane Young,FW,"5' 8""","72.0""",Orthodox,2,0,2,10.567,4.200,6.000,0.000,0.000,0.116,190,0.033,0.100,0.267,0.300,0.125,0.333333333,1.967,1.333,0.900,3.667,0.600,1.733,,,,,,2,0,0,0,0,0
Blake Bilder,FW,"5' 8""","68.0""",Switch,1,1,0,13.733,7.400,5.333,0.000,0.000,0.114,3,0.067,0.000,0.467,0.200,0.142857143,0,4.133,0.733,2.533,2.800,1.400,1.133,,,,,,,1,0,0,0,0
Zubair Tukhugov,FW,"5' 8""","68.0""",Orthodox,2,1,1,11.900,4.900,4.567,0.000,0.000,0.103,0,0.067,0.000,0.367,0.100,0.181818182,0,4.567,0.200,0.133,2.633,1.100,0.833,,,,,,1,1,0,0,0,0
Elves Brener,LW,"5' 10""","72.0""",Orthodox,1,1,0,11.333,4.600,4.667,0.000,0.000,0.000,131,0.000,0.000,0.200,0.267,0,0,2.000,1.533,1.067,4.267,0.267,0.133,,,,,,,1,0,0,0,0
Derrick Lewis,HW,"6' 3""","79.0""",Orthodox,6,2,4,4.128,1.949,5.361,0.057,0.057,0.055,376,0.057,0.172,0.172,0.344,0.333333333,0.5,1.491,0.344,0.115,3.239,0.831,1.290,,,,,,,0,2,3,1,0
Serghei Spivac,HW,"6' 3""","78.0""",Orthodox,6,5,1,12.901,4.406,2.507,0.000,0.024,0.580,237,0.438,0.024,0.609,0.049,0.72,0.5,4.308,0.073,0.024,1.387,0.657,0.462,,,,,,,1,3,1,0,1
Da Woon Jung,LHW,"6' 4""","78.0""",Orthodox,3,2,1,6.835,1.875,1.875,0.030,0.000,0.540,311,0.272,0.091,0.423,0.423,0.642857143,0.214285714,1.391,0.212,0.272,0.998,0.181,0.696,,,,,,1,1,1,0,0,0
Devin Clark ,LHW,,,,2,1,1,8.867,2.067,2.733,0.000,0.033,0.233,876,0.133,0.300,0.567,0.567,0.235294118,0.529411765,1.067,0.267,0.733,2.333,0.333,0.067,,,,,,1,1,0,0,0,0
Marcin Tybura,HW,"6' 3""","78.0""",Orthodox,4,3,1,10.102,3.035,3.503,0.000,0.000,0.225,428,0.041,0.041,0.387,0.122,0.105263158,0.333333333,1.690,0.937,0.407,2.403,0.835,0.265,,,,,,1,2,1,0,0,0
Blagoy Ivanov,HW,"5' 11""","73.0""",Southpaw,2,1,1,8.500,3.200,3.600,0.000,0.000,0.129,419,0.000,0.067,0.133,0.200,0,0.333333333,2.567,0.633,0.000,1.933,1.233,0.433,,,,,,1,1,0,0,0,0
Dooho Choi,FW,"5' 10""","70.0""",Orthodox,1,0,1,7.600,3.333,1.333,0.000,0.000,0.264,334,0.000,0.333,0.000,0.667,No TD Att,0.5,0.733,1.533,1.067,0.667,0.467,0.200,,,,,,,0,0,0,0,0
Kyle Nelson,LW,"5' 11""","71.0""",Switch,2,0,2,5.233,2.033,2.867,0.000,0.000,0.289,595,0.167,0.000,0.467,0.033,0.357142857,0,0.833,0.600,0.600,0.900,1.333,0.633,,,,,,1,0,0,0,0,0
Yusaku Kinoshita ,WW,,,,1,0,1,5.435,2.174,4.565,0.000,0.000,0.004,173,0.000,0.870,0.217,1.522,0,0.571428571,1.304,0.217,0.652,3.478,0.870,0.217,,,,,,,0,0,1,0,0
Adam Fugitt,WW,"6' 1""","77.0""",Southpaw,2,1,1,11.048,5.397,5.905,0.000,0.127,0.301,13,0.317,0.000,0.952,0.127,0.333333333,0,3.048,1.524,0.825,5.079,0.508,0.317,,,,,,,0,1,1,0,0
Jeka Saragih,LW,"5' 8""","69.0""",Orthodox,1,0,1,4.580,1.603,4.351,0.000,0.000,0.017,427,0.000,0.229,0.000,0.573,No TD Att,0.4,0.229,0.344,1.031,4.122,0.115,0.115,,,,,,,0,0,1,0,0
Anshul Jubli,LW,"6' 0""","69.0""",Switch,1,1,0,11.336,4.351,1.603,0.000,0.000,0.815,9,0.229,0.000,0.573,0.000,0.4,No TD Att,4.122,0.115,0.115,0.229,0.344,1.031,,,,,,,0,1,0,0,0
JeongYeong Lee,FW,"5' 10""","73.0""",Orthodox,1,1,0,7.000,1.667,1.600,0.000,0.000,0.056,499,0.000,0.333,0.000,1.400,No TD Att,0.238095238,1.200,0.467,0.000,1.133,0.400,0.067,,,,,,,1,0,0,0,0
Zha Yi,FW,"5' 7""","70.0""",Orthodox,1,0,1,4.933,1.600,1.667,0.000,0.000,0.554,50,0.333,0.000,1.400,0.000,0.238095238,No TD Att,1.133,0.400,0.067,1.200,0.467,0.000,,,,,,1,0,0,0,0,0
Toshiomi Kazama,BW,"5' 7""","69.0""",Orthodox,1,0,1,18.182,7.273,20.000,0.000,3.636,0.000,3,0.000,0.000,0.000,0.000,No TD Att,No TD Att,7.273,0.000,0.000,20.000,0.000,0.000,,,,,,,0,0,1,0,0
Rinya Nakamura,BW,"5' 7""","68.0""",Southpaw,1,1,0,45.455,20.000,7.273,3.636,0.000,0.091,0,0.000,0.000,0.000,0.000,No TD Att,No TD Att,20.000,0.000,0.000,7.273,0.000,0.000,,,,,,,0,1,0,0,0
SeungGuk Choi,FLW,"5' 6""","64.0""",Orthodox,1,0,1,6.296,1.517,2.882,0.076,0.000,0.200,107,0.000,0.076,0.152,0.228,0,0.333333333,0.910,0.228,0.379,1.517,0.076,1.290,,,,,,,0,0,0,1,0
HyunSung Park,FLW,"5' 7""","66.0""",Orthodox,1,1,0,9.482,2.882,1.517,0.000,0.076,0.135,158,0.076,0.000,0.228,0.152,0.333333333,0,1.517,0.076,1.290,0.910,0.228,0.379,,,,,,,0,0,0,0,1
Junyong Park,MW,,,,3,2,1,11.685,5.568,4.908,0.000,0.000,0.266,234,0.110,0.110,0.293,0.220,0.375,0.5,4.799,0.183,0.586,2.821,1.612,0.476,,,,,,,1,0,1,0,1
Denis Tiuliulin,MW,"6' 1""","77.0""",Orthodox,3,1,2,14.056,5.355,6.072,0.096,0.000,0.049,379,0.000,0.143,0.096,0.526,0,0.272727273,4.064,1.243,0.048,4.542,1.052,0.478,,,,,,,0,1,0,2,0
