Name,Weight Class,Height,Reach,Stance,Total Fights,Wins,Losses,Strikes Thrown Per Minute,Sig Strikes Per Minute,Sig Strikes Absorbed per Minute,KD/Min,Knockdowns Suffered per Minute,Cntrl Proportion,Time Controlled,TDL/Min,Takedowns Suffered per Minute,TDA/Min,Takedowns Faced per Minute,TD Accuracy,Opp TD Accuracy,Head Strikes Per Minute,Body Strikes Per Minute,Leg Strikes Per Minute,Headstrikes Suffered per Minute,Bodystrikes Suffered per Minute,Legstrikes Suffered per Minute,,,,,,Decision Losses,Decision Wins,KO/TKO Wins,KO/TKO Losses,Submission Losses,Submission Wins
Alex Pereira,MW,"6' 4""","79.0""",Orthodox,5,4,1,11.259,5.233,3.759,0.037,0.018,0.035,831,0.018,0.092,0.018,0.350,1,0.263157895,2.193,1.843,1.198,2.027,0.903,0.829,,,,,,,1,3,1,0,0
Israel Adesanya,LHW,"6' 4""","80.0""",Switch,6,4,2,8.830,3.776,3.456,0.015,0.000,0.055,1346,0.008,0.091,0.030,0.259,0.25,0.352941176,1.758,0.784,1.233,1.774,0.898,0.784,,,,,,1,3,1,1,0,0
Gilbert Burns,WW,"5' 10""","71.0""",Orthodox,5,3,2,10.365,4.012,4.230,0.000,0.050,0.261,273,0.134,0.033,0.351,0.050,0.380952381,0.666666667,2.708,0.685,0.619,2.842,0.602,0.786,,,,,,1,2,0,1,0,1
Jorge Masvidal,WW,"5' 11""","74.0""",Orthodox,3,0,3,8.146,2.976,3.411,0.000,0.022,0.009,1417,0.000,0.261,0.000,0.500,No TD Att,0.52173913,1.412,0.456,1.108,2.889,0.369,0.152,,,,,,2,0,0,1,0,0
Rob Font,BW,"5' 8""","71.0""",Orthodox,4,2,2,16.921,8.069,4.272,0.013,0.064,0.048,853,0.051,0.038,0.141,0.141,0.363636364,0.272727273,6.004,1.424,0.641,2.797,0.641,0.834,,,,,,2,1,1,0,0,0
Adrian Yanez,BW,"5' 7""","70.0""",Orthodox,5,4,1,16.853,6.726,6.168,0.102,0.025,0.005,16,0.000,0.000,0.000,0.076,No TD Att,0,4.797,0.888,1.041,3.985,1.472,0.711,,,,,,,1,3,1,0,0
Kevin Holland,MW,"6' 3""","81.0""",Orthodox,8,3,5,10.622,3.425,3.208,0.020,0.000,0.046,2628,0.030,0.237,0.079,0.464,0.375,0.510638298,1.777,0.464,1.185,1.816,0.780,0.612,,,,,,2,0,2,1,1,1
Santiago Ponzinibbio,WW,"6' 0""","73.0""",Orthodox,6,2,4,15.553,6.826,6.608,0.016,0.047,0.013,17,0.031,0.000,0.171,0.000,0.181818182,No TD Att,4.488,1.091,1.247,3.506,1.387,1.714,,,,,,2,1,1,2,0,0
Raul Rosas,BW,"5' 9""","67.0""",Switch,2,1,1,1.861,0.282,1.861,0.000,0.000,0.397,450,0.282,0.056,1.071,0.056,0.263157895,1,0.226,0.000,0.056,1.635,0.169,0.056,,,,,,1,0,0,0,0,1
Christian Rodriguez,FW,"5' 7""","71.0""",Orthodox,3,2,1,6.507,1.876,1.114,0.000,0.000,0.279,1030,0.088,0.322,0.147,0.850,0.6,0.379310345,1.612,0.234,0.029,0.586,0.322,0.205,,,,,,1,1,0,0,0,1
Chris Curtis,MW,"5' 10""","75.0""",Orthodox,6,4,2,11.738,5.293,6.383,0.047,0.000,0.023,224,0.000,0.000,0.000,0.545,No TD Att,0,3.425,1.604,0.265,3.923,1.183,1.277,,,,,,2,1,3,0,0,0
Kelvin Gastelum,MW,"5' 9""","71.0""",Southpaw,4,2,2,9.675,3.400,4.100,0.000,0.013,0.139,333,0.188,0.063,0.275,0.163,0.681818182,0.384615385,2.163,0.550,0.688,2.750,0.750,0.600,,,,,,2,2,0,0,0,0
Gerald Meerschaert,MW,"6' 1""","77.0""",Southpaw,6,4,2,7.101,2.786,3.212,0.019,0.000,0.187,818,0.116,0.174,0.406,0.174,0.285714286,1,1.625,0.503,0.658,2.148,0.697,0.368,,,,,,1,0,0,1,0,4
