Date,Fighter 1,Fighter 2,Winner,Weight Class,Venue,Title Fight,Main Event,F1 Lay Pray,F2 Lay Pray,Winner LP,F1 Failed LP,F2 Failed LP,Decision,Stinker,F1 Frozen,F2 Frozen,Potential Robbery,Stand Up,F1 Active,F2 Active,Comeback Win,BangFest,F1 Head Hunter,F2 Head Hunter,F1 Leg Kicker,F2 Leg Kicker,Paul Craig,Massacre,F1 Beatdown,F2 Beatdown,Time Elapsed,F1 TDA,F1 TDL,F1 Control Time,F2 TDA,F2 TDL,F2 Control Time,F1 Total Strikes,F1 Sig Strikes,F1 Head Strike,F1 Body Strike,F1 Leg Strike,F2 Total Strikes,F2 Sig Strikes,F2 Head Strike,F2 Body Strike,F2 Leg Strike,F1 KD,F2 KD,F1 Strike Acc%,F1 TD Acc%,F1 HS%,F1 BS%,F1 LS%,F1 Strike/Sec,F1 Sig Strike/Sec,F2 Strike Acc%,F2 TD Acc%,F2 HS%,F2 BS%,F2 LS%,F2 Strike/Sec,F2 Sig Strike/Sec,F1 Strike Diff,F1 Sig Strike Diff,F2 Strike Diff,F2 Sig Strike Diff,Submission,KO,Method of Victory ,Gender
3/18/2023,Jack Shore,Makwan Amirkhani,F1,FW,"London, England",0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,567,1,1,135,3,1,211,64,28,23,4,1,28,10,6,4,0,0,0,0.438,1,0.821,0.143,0.036,0.043,0.019,0.357,0.333,0.047,0.031,0,0.019,0.007,36,18,-36,-18,1,0,RNC,M
3/18/2023,Chris Duncan ,Omar Morales,F1,LW,"London, England",0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,900,14,5,391,0,0,2,92,53,12,17,24,86,47,32,5,10,0,0,0.576,0.357,0.226,0.321,0.453,0.061,0.035,0.547,No Takedown Attempted,0.25,0.039,0.078,0.057,0.031,6,6,-6,-6,0,0,SD,M
3/18/2023,Sam Patterson,Yanal Ashmoz,F2,LW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,75,0,0,0,1,1,7,7,2,1,0,1,20,15,14,0,1,0,0,0.286,No Takedown Attempted,0.5,0,0.5,0.005,0.001,0.75,1,0.109,0,0.008,0.013,0.01,-13,-13,13,13,0,1,KO/TKO,M
3/18/2023,Muhammad Mokaev,Jafael Filho ,F1,FYW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,872,8,4,495,0,0,50,104,16,4,8,4,87,9,1,2,6,0,0,0.154,0.5,0.25,0.5,0.25,0.069,0.011,0.103,No Takedown Attempted,0.008,0.016,0.047,0.058,0.006,17,7,-17,-7,1,0,RNC,M
3/18/2023,Lerone Murphy,Gabriel Santos,F1,FW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,900,2,1,138,11,5,240,183,93,59,27,7,141,69,32,24,13,0,0,0.508,0.5,0.634,0.29,0.075,0.122,0.062,0.489,0.455,0.25,0.188,0.102,0.094,0.046,42,24,-42,-24,0,0,SD,M
3/18/2023,Chris Duncan,Dusko Todorovic,F1,MW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,112,0,0,38,0,0,0,19,9,3,2,4,8,4,0,2,2,0,0,0.474,No Takedown Attempted,0.333,0.222,0.444,0.013,0.006,0.5,No Takedown Attempted,0,0.016,0.016,0.005,0.003,11,5,-11,-5,0,1,KO/TKO,M
3/18/2023,Jake Hadley,Malcom Gordon,F1,FYW,"London, England",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,61,0,0,4,0,0,0,24,10,7,2,1,15,3,1,0,2,1,0,0.417,No Takedown Attempted,0.7,0.2,0.1,0.016,0.007,0.2,No Takedown Attempted,0.008,0,0.016,0.01,0.002,9,7,-9,-7,0,1,KO/TKO,M
3/18/2023,Jai Herbert,Ludovit Klein,Draw,LW,"London, England",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,900,3,1,174,3,2,194,168,43,15,17,11,132,47,30,11,6,0,0,0.256,0.333,0.349,0.395,0.256,0.112,0.029,0.356,0.667,0.234,0.086,0.047,0.088,0.031,36,-4,-36,4,0,0,Draw,M
3/11/2023,Petr Yan,Merab Dvalishvili,F2,BW,"Las Vegas, NV",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1500,5,1,110,49,11,413,155,75,41,16,18,401,147,91,35,21,0,0,0.484,0.2,0.547,0.213,0.24,0.103,0.05,0.367,0.224,0.711,0.273,0.164,0.267,0.098,-246,-72,246,72,0,0,UD,M
3/11/2023,Alexander Volkov,Alexander Romanov,F1,HW,"Las Vegas, NV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,136,0,0,63,5,0,38,35,12,8,4,0,1,0,0,0,0,0,0,0.343,No Takedown Attempted,0.667,0.333,0,0.023,0.008,0,0,0,0,0,0.001,0,34,12,-34,-12,0,1,KO/TKO,M
